2454003.32	5.6			Vis.	MEZ	         					No		G				KHI CYG
2454003.3347	5.6			Vis.	RKE		48	51	AAVSO		No		G				KHI CYG
2454003.3389	5.5			Vis.	SYI	TO	50	57		CHI CYG = 5.46 MAG	No		G				KHI CYG
2454003.3722	5.3			Vis.	COV		40	51	S	20	No		G				KHI CYG
2454003.4	6.0			Vis.	VZP	         					No		G				KHI CYG
2454003.411	5.3			Vis.	PYG		Fl17-3		45.01		No		G				KHI CYG
2454003.4166	5.5			Vis.	SJOE		48	51	9/94	8x40 OUT OF FOCUS	No		G				KHI CYG
2454003.41667	5.7			Vis.	CXO	O	5.4	5.7	9/94	10x50	No		G				KHI CYG
2454003.42	5.8			Vis.	KAF	         					No		G				KHI CYG
2454003.6	5.7			Vis.	SWV						No		G				KHI CYG
2454003.642	5.6			Vis.	WI		51	59	SB1993		No		G				KHI CYG
2454003.67361	5.7			Vis.	CFY		54	57	9/94		No		G				KHI CYG
2454003.7	6.0			Vis.	MN	Z					No		G				KHI CYG
2454003.85417	5.7			Vis.	RR	O	5.7	6.0	09/94A	7x50	No		G				KHI CYG
2454003.93542	5.2			Vis.	MTH		5.1	6.0	10/93		No		G				KHI CYG
2454004.2403	5.5			Vis.	KOC					      =	No		G				KHI CYG
2454004.3	5.5			Vis.	VIA	         					No		G				KHI CYG
2454004.3382	5.4			Vis.	SYI	TO	50	55		CHI CYG = 5.36 MAG	No		G				KHI CYG
2454004.35000	5.8			Vis.	ACO		5.1	6.1	9/94		No		G				KHI CYG
2454004.35069	5.4			Vis.	RFC		5.1	5.7	AAVSO 9/94		No		G				KHI CYG
2454004.37847	6.0			Vis.	SSW		57	60	1994		No		G				KHI CYG
2454004.48611	5.8			Vis.	CXO	O	5.7	5.9	9/94	10x50	No		G				KHI CYG
2454004.5	5.8			Vis.	WEF						No		G				KHI CYG
2454004.5597	5.8			Vis.	BTB	F	54	57	SA1994	OUT OF FOCUS METHOD USED	No		G				KHI CYG
2454004.6	5.2			N/A	GMO		51	60	3/b/86	digital camera photograph	No		G				KHI CYG
2454004.6	6.2			Vis.	KRS						No		G				KHI CYG
2454004.60417	5.3			Vis.	MPS		5.1	6.1	031103		No		G				KHI CYG
2454004.83333	5.8			Vis.	RR		5.7	6.0	09/94A		No		G				KHI CYG
2454005.2	6.5			Vis.	VGK	K					No		G				KHI CYG
2454005.24	5.7			Vis.	PPS	         					No		G				KHI CYG
2454005.27	5.6			Vis.	MEZ	         					No		G				KHI CYG
2454005.2799	5.8			Vis.	SJZ		57	59	SA1994		No		G				KHI CYG
2454005.2889	5.9			Vis.	NDQ		59		9/94		No		G				KHI CYG
2454005.3	5.8			Vis.	DNO		51.61		sa1994		No		G				KHI CYG
2454005.3	5.9			Vis.	NDQ						No		G				KHI CYG
2454005.3417	5.3			Vis.	SYI	TO	50	57		CHI CYG = 5.29 MAG	No		G				KHI CYG
2454005.34375	5.9			Vis.	PGU	U	51	59	10/93		No		G				KHI CYG
2454005.363	5.38			Vis.	LCR		40	48	AAVSO STAN		No		G				KHI CYG
2454005.39375	5.5			Vis.	TTU	O	5.4	5.5	A	Canon EOS300D  50 mm lens	No		G				KHI CYG
2454005.39583	5.9			Vis.	CXO	O	5.7	5.9	9/94	10x50	No		G				KHI CYG
2454005.4	5.6			Vis.	DMO						No		G				KHI CYG
2454005.41111	5.9			Vis.	CUU		59	60	9/94		No		G				KHI CYG
2454005.5090	5.7			Vis.	AAX	A	55	59	ATLAS		No		G				KHI CYG
2454005.5632	5.8			Vis.	SYO		57	59	SA1997		No		G				KHI CYG
2454005.5743	6.0			Vis.	BTY		5.9	6.1	10/93		No		G				KHI CYG
2454005.6	5.8			Vis.	WEF						No		G				KHI CYG
2454005.60347	6.0			Vis.	ZPA	O	5.1	5.9	SB1093	20X70 Binoculars Used	No		G				KHI CYG
2454005.6708	5.5			Vis.	KSJ		51	60	A 9/94		No		G				KHI CYG
2454005.73611	5.0			Vis.	LNL		40	51	a 9/94		No		G				KHI CYG
2454005.90	5.8			Vis.	KIL	         					No		G				KHI CYG
2454005.97222	5.7			Vis.	MTH		5.1	6.0	10/93		No		G				KHI CYG
2454006.29167	6.0			Vis.	JAX		59	60	aavso a 19		No		G				KHI CYG
2454006.3090	6.0			Vis.	WAS		60	69	SA97		No		G				KHI CYG
2454006.3257	6.3			Vis.	GGC		62	65	AAVSO	6.2 1 V 3 6.5	No		G				KHI CYG
2454006.33	5.9			Vis.	GGZ	         					No		G				KHI CYG
2454006.3528	5.8			Vis.	FMR		52	57	S A 94		No		G				KHI CYG
2454006.358	5.9			Vis.	SKI	         					No		G				KHI CYG
2454006.3715	5.3			Vis.	CME						No		G				KHI CYG
2454006.3944	6.3			Vis.	MZS					927062128	No		G				KHI CYG
2454006.4	5.5			Vis.	VFK		51	61	SB1953		No		G				KHI CYG
2454006.5	5.8			Vis.	WEF						No		G				KHI CYG
2454006.57847	5.9			Vis.	HTY		5.9	6.0	a 9/94		No		G				KHI CYG
2454006.73819	6.0			Vis.	LRD		59	61	B10/93		No		G				KHI CYG
2454006.97083	5.8			Vis.	MTH		5.1	6.0	10/93		No		G				KHI CYG
2454007.27	5.8			Vis.	PPS	         					No		G				KHI CYG
2454007.28	5.8			Vis.	CTI	         					No		G				KHI CYG
2454007.31	5.9			Vis.	KAF	         					No		G				KHI CYG
2454007.3361	6.1			Vis.	VDL		51	61	SB1093		No		G				KHI CYG
2454007.4000	5.8			Vis.	KOS					928062136	No		G				KHI CYG
2454007.40278	5.8			Vis.	AJV		51	64	aavso stan		No		G				KHI CYG
2454007.419	5.7			Vis.	ATI	         					No		G				KHI CYG
2454007.65694	5.7			Vis.	ERB		5.7	6.0	1946+32 (a		No		G				KHI CYG
2454007.72917	6.1			Vis.	SHA		5.1	6.1	SA1994		No		G				KHI CYG
2454007.80208	5.9			Vis.	RR		5.7	6.0	09/94A		No		G				KHI CYG
2454007.93611	5.7			Vis.	MTH		5.1	6.0	10/93		No		G				KHI CYG
2454008.24	5.7			Vis.	MEZ	         					No		G				KHI CYG
2454008.2951	5.8			Vis.	RZM		54	64	9/94		No		G				KHI CYG
2454008.3	6.0			Vis.	CMG						No		G				KHI CYG
2454008.33958	5.76			Vis.	RFC		5.4	6.1	AAVSO 9/94		No		G				KHI CYG
2454008.3479	5.6			Vis.	SYI	T	50	57			No		G				KHI CYG
2454008.492	6.0			Vis.	ILE	         					No		G				KHI CYG
2454008.5	6.2			Vis.	MOI						No		G				KHI CYG
2454008.5	5.9			Vis.	WEF	HM					No		G				KHI CYG
2454008.6	5.6			Vis.	PPL						No		G				KHI CYG
2454008.7	6.6			V	BOA	     					No		G				KHI CYG
2454008.93681	5.7			Vis.	MTH		5.1	6.0	10/93		No		G				KHI CYG
2454008.9806	6.1			Vis.	SSU						No		G				KHI CYG
2454009.24	5.7			Vis.	MEZ	         					No		G				KHI CYG
2454009.25000	6.2			Vis.	SSW		60	64	1994		No		G				KHI CYG
2454009.3	5.6			Vis.	VFK		51	61	SB1953		No		G				KHI CYG
2454009.3	5.9			Vis.	VOL		51	61	A9/94		No		G				KHI CYG
2454009.3	6.0			Vis.	DAT						No		G				KHI CYG
2454009.3	5.5			Vis.	VIA	         					No		G				KHI CYG
2454009.30	5.8			Vis.	MII	         					No		G				KHI CYG
2454009.34	6.0			Vis.	PPS	         					No		G				KHI CYG
2454009.37	6.0			Vis.	RNA	         					No		G				KHI CYG
2454009.39	5.9			Vis.	KAZ	         					No		G				KHI CYG
2454009.39375	6.2			Vis.	RJG	U	61	65	SA1994		No		G				KHI CYG
2454009.39583	6.2			Vis.	CAI	U	61	65	SA1994		No		G				KHI CYG
2454009.4	6.0			Vis.	BMU						No		G				KHI CYG
2454009.4	6.4			Vis.	VDE						No		G				KHI CYG
2454009.41667	5.9			Vis.	CXO	O	5.7	5.9	9/94	10x50	No		G				KHI CYG
2454009.50347	5.9			Vis.	ONJ		59	51	a94		No		G				KHI CYG
2454010.00694	5.7			Vis.	MTH		5.1	6.0	10/93		No		G				KHI CYG
2454010.25	5.7			Vis.	MEZ	         					No		G				KHI CYG
2454010.2535	6.1			Vis.	WAS	M	51	64	SA97		No		G				KHI CYG
2454010.29097	5.4			Vis.	NKL		5.1	5.4	9/94		No		G				KHI CYG
2454010.2972	5.8			Vis.	COV		40	51	S	20	No		G				KHI CYG
2454010.3	5.9			Vis.	KUC	         					No		G				KHI CYG
2454010.31	6.0			Vis.	PPS	         					No		G				KHI CYG
2454010.4	5.6			Vis.	VFK		51	61	SB1953		No		G				KHI CYG
2454010.4	5.7			Vis.	VED						No		G				KHI CYG
2454010.5	5.9			Vis.	WEF	MU					No		G				KHI CYG
2454010.5319	5.9			Vis.	SYO		57	61	SA1997		No		G				KHI CYG
2454010.6504	6.0			Vis.	CKJ		6.1	6.0	09/94		No		G				KHI CYG
2454010.6674	6.2			Vis.	BWX		60	64	SB1993		No		G				KHI CYG
2454010.7	5.9			Vis.	MOW	         					No		G				KHI CYG
2454010.90972	5.7			Vis.	MTH		5.1	6.0	10/93		No		G				KHI CYG
2454011.32	5.9			Vis.	MEZ	         					No		G				KHI CYG
2454011.33681	5.9			Vis.	RFC		5.7	6.1	AAVSO 9/94		No		G				KHI CYG
2454011.344	5.9			Vis.	PYG	M	B(1)v(3)C		45.01		No		G				KHI CYG
2454011.3729	6.0			Vis.	FMR		59	61	S B 93		No		G				KHI CYG
2454011.4	6.4			Vis.	GMO		64		3/b/86		No		G				KHI CYG
2454011.5	6.3			Vis.	BRJ		61	64	9/94		No		G				KHI CYG
2454011.5	6.0			Vis.	WEF	HM					No		G				KHI CYG
2454011.5111	6.4			Vis.	TYS		61	64	S/A/86		No		G				KHI CYG
2454011.54167	6.1			Vis.	CXO	O	5.9	6.0	9/94	10x50	No		G				KHI CYG
2454011.7	5.8			Vis.	GMO		51	60	3/b/86	digital camera photo	No		G				KHI CYG
2454011.90833	5.8			Vis.	MTH		5.1	6.0	10/93		No		G				KHI CYG
2454012.26	5.9			Vis.	MEZ	         					No		G				KHI CYG
2454012.3	6.4			Vis.	SGX	         					No		G				KHI CYG
2454013.2521	5.9			Vis.	SJZ	M	59		SA1994		No		G				KHI CYG
2454013.2917	6.0			Vis.	SDI		60	61	1946+32		No		G				KHI CYG
2454013.3	6.0			Vis.	KUC	         					No		G				KHI CYG
2454013.4	6.3			Vis.	BIC	         					No		G				KHI CYG
2454013.5	6.0			Vis.	WEF	MU					No		G				KHI CYG
2454013.54167	6.1			Vis.	CXO	O	6.0	6.1	9/94	10x50	No		G				KHI CYG
2454014.29861	6.3			Vis.	SSW	M	60	64	1994		No		G				KHI CYG
2454014.3	5.8			Vis.	VFK		51	61	SB1953		No		G				KHI CYG
2454014.30278	6.1			Vis.	GFT		60	64	SB1997		No		G				KHI CYG
2454014.33889	5.9			Vis.	ACO		51	61	9/94		No		G				KHI CYG
2454014.37083	6.6			Vis.	RJG		61	67	SA1994		No		G				KHI CYG
2454014.37361	6.6			Vis.	CAI		62	67	SA1994		No		G				KHI CYG
