2438372.3,10.00,,,Vis.,DJ,,,,,,No,,P,,,,SS Cyg,,STD,
2438372.3,10.00,,,Vis.,VPA,,,,,,No,,P,,,,SS Cyg,,STD,
2438372.4,9.90,,,Vis.,SAS,,,,,,No,,G,,,,SS Cyg,,STD,
2438372.6,9.90,,,Vis.,RR,,,,,,No,,G,,,,SS Cyg,,STD,
2438372.7,9.40,,,Vis.,HR,,,,,,No,,G,,,,SS Cyg,,STD,
2438372.95,9.80,,,Vis.,HOH,,,,,,No,,G,,,,SS Cyg,,STD,
2438373.2,9.90,,,Vis.,SAS,,,,,,No,,G,,,,SS Cyg,,STD,
2438373.25,10.50,,,Vis.,SAS,,,,,,No,,G,,,,SS Cyg,,STD,
2438373.6,10.30,,,Vis.,AD,,,,,,No,,G,,,,SS Cyg,,STD,
2438373.6,10.50,,,Vis.,FZS,,,,,,No,,G,,,,SS Cyg,,STD,
2438373.7,10.20,,,Vis.,FE,,,,,,No,,G,,,,SS Cyg,,STD,
2438373.7,10.80,,,Vis.,TB,,,,,,No,,G,,,,SS Cyg,,STD,
2438374.7,10.90,,,Vis.,FE,,,,,,No,,G,,,,SS Cyg,,STD,
2438374.7,11.20,,,Vis.,TB,,,,,,No,,G,,,,SS Cyg,,STD,
2438375.22,10.90,,,Vis.,SAS,,,,,,No,,G,,,,SS Cyg,,STD,
2438375.5,11.60,,,Vis.,FE,,,,,,No,,G,,,,SS Cyg,,STD,
2438375.5,11.30,,,Vis.,H,,,,,,No,,G,,,,SS Cyg,,STD,
2438375.5,11.50,,,Vis.,RB,,,,,,No,,G,,,,SS Cyg,,STD,
2438375.7,11.80,,,Vis.,TB,,,,,,No,,G,,,,SS Cyg,,STD,
2438376.0,11.20,,,Vis.,HOH,,,,,,No,,G,,,,SS Cyg,,STD,
2438376.26,11.20,,,Vis.,SAS,,,,,,No,,G,,,,SS Cyg,,STD,
2438376.5,11.80,,,Vis.,FE,,,,,,No,,G,,,,SS Cyg,,STD,
2438376.6,12.00,,,Vis.,AD,,,,,,No,,G,,,,SS Cyg,,STD,
2438376.7,11.90,,,Vis.,TB,,,,,,No,,G,,,,SS Cyg,,STD,
2438377.38,11.50,,,Vis.,SAS,,,,,,No,,G,,,,SS Cyg,,STD,
2438377.5,11.80,,,Vis.,FE,,,,,,No,,G,,,,SS Cyg,,STD,
2438377.6,11.50,,,Vis.,CR,,,,,,No,,G,,,,SS Cyg,,STD,
2438377.6,11.80,,,Vis.,P,,,,,,No,,G,,,,SS Cyg,,STD,
2438377.8,11.80,,,Vis.,BC,,,,,,No,,G,,,,SS Cyg,,STD,
2438378.3,<11.00,,,Vis.,DJ,,,,,,No,,P,,,,SS Cyg,,STD,
2438378.3,<10.40,,,Vis.,VPA,,,,,,No,,P,,,,SS Cyg,,STD,
2438378.3,11.60,,,Vis.,CMG,,,,,,No,,P,,,,SS Cyg,,STD,
2438378.5,11.30,,,Vis.,RH,,,,,,No,,G,,,,SS Cyg,,STD,
2438378.6,11.80,,,Vis.,AD,,,,,,No,,G,,,,SS Cyg,,STD,
2438378.6,11.80,,,Vis.,P,,,,,,No,,G,,,,SS Cyg,,STD,
