2455800.286137	13.105000	0.065000		V	NRU		140	141	5249CPN		No	1.249	P	16.212	16.268		PTF11KLY		STD		
2455800.290041	13.050000	0.057000		V	NRU		140	141	5249CPN		No	1.262	P	16.398	16.415		PTF11KLY		STD		
2455800.294219	13.105000	0.046000		V	NRU		140	141	5249CPN		No	1.277	P	16.219	16.436		PTF11KLY		STD		
2455800.298068	13.202000	0.041000		V	NRU		140	141	5249CPN		No	1.290	P	16.092	16.385		PTF11KLY		STD		
2455800.301916	13.103000	0.042000		V	NRU		140	141	5249CPN		No	1.304	P	16.210	16.271		PTF11KLY		STD		
2455800.305773	13.172000	0.039000		V	NRU		140	141	5249CPN		No	1.318	P	16.132	16.263		PTF11KLY		STD		
2455800.309619	13.190000	0.040000		V	NRU		140	141	5249CPN		No	1.333	P	16.161	16.448		PTF11KLY		STD		
2455800.313469	13.067000	0.041000		V	NRU		140	141	5249CPN		No	1.348	P	16.223	16.359		PTF11KLY		STD		
2455800.317499	13.171000	0.040000		V	NRU		140	141	5249CPN		No	1.364	P	16.233	16.380		PTF11KLY		STD		
2455800.321606	13.151000	0.043000		V	NRU		140	141	5249CPN		No	1.382	P	16.214	16.451		PTF11KLY		STD		
2455800.325682	13.116000	0.043000		V	NRU		140	141	5249CPN		No	1.400	P	16.294	16.385		PTF11KLY		STD		
2455800.329876	13.167000	0.042000		V	NRU		140	141	5249CPN		No	1.418	P	16.244	16.386		PTF11KLY		STD		
2455800.330000	13.000000			Vis.	GGZ		000		999999		No		P				SN 2011FE		STD		
2455800.333911	13.122000	0.043000		V	NRU		140	141	5249CPN		No	1.437	P	16.235	16.464		PTF11KLY		STD		
2455800.337972	13.109000	0.045000		V	NRU		140	141	5249CPN		No	1.457	P	16.343	16.445		PTF11KLY		STD		
2455800.338900	13.000000			Vis.	KWO		128	131	5249axn		No		P				PTF11KLY		STD		
2455800.341932	13.185000	0.042000		V	NRU		140	141	5249CPN		No	1.477	P	16.188	16.418		PTF11KLY		STD		
2455800.345924	13.097000	0.044000		V	NRU		140	141	5249CPN		No	1.497	P	16.315	16.516		PTF11KLY		STD		
2455800.349890	13.125000	0.047000		V	NRU		140	141	5249CPN		No	1.518	P	16.342	16.518		PTF11KLY		STD		
2455800.353860	13.095000	0.044000		V	NRU		140	141	5249CPN		No	1.539	P	16.284	16.441		PTF11KLY		STD		
2455800.357869	13.116000	0.044000		V	NRU		140	141	5249CPN		No	1.562	P	16.333	16.419		PTF11KLY		STD		
2455800.358000	13.100000			Vis.	PIJ		131	133	5249BEA		No		P				SN 2011FE		STD		
2455800.361570	13.100000	0.014000		V	ATE		138	140	110825		No	1.44	P		13.878		PTF11KLY		STD		
2455800.361840	13.170000	0.043000		V	NRU		140	141	5249CPN		No	1.585	P	16.275	16.521		PTF11KLY		STD		
2455800.362510	13.079000	0.014000		V	ATE		138	140	110825		No	1.45	P		13.854		PTF11KLY		STD		
2455800.363250	13.103000	0.014000		V	ATE		138	140	110825		No	1.45	P		13.871		PTF11KLY		STD		
2455800.364060	13.075000	0.014000		V	ATE		138	140	110825		No	1.46	P		13.913		PTF11KLY		STD		
2455800.364830	13.091000	0.014000		V	ATE		138	140	110825		No	1.46	P		13.855		PTF11KLY		STD		
2455800.365570	13.066000	0.014000		V	ATE		138	140	110825		No	1.47	P		13.871		PTF11KLY		STD		
2455800.365760	13.137000	0.016000		V	MIW		ENSEMBLE	141	5249ASP	MEAN OF 5 MEASUREMENTS	No		P		14.119		PTF11KLY		STD		
2455800.365807	13.036000	0.046000		V	NRU		140	141	5249CPN		No	1.608	P	16.376	16.566		PTF11KLY		STD		
2455800.366310	13.083000	0.014000		V	ATE		138	140	110825		No	1.47	P		13.856		PTF11KLY		STD		
2455800.367060	13.089000	0.014000		V	ATE		138	140	110825		No	1.48	P		13.873		PTF11KLY		STD		
2455800.367820	13.077000	0.014000		V	ATE		138	140	110825		No	1.48	P		13.873		PTF11KLY		STD		
2455800.368490	13.111000	0.017000		V	SJAR		ENSEMBLE	000-BKD-533	5249ALC		No	1.538	P		13.954		PTF11KLY		STD		
2455800.368570	13.071000	0.014000		V	ATE		138	140	110825		No	1.48	P		13.848		PTF11KLY		STD		
2455800.369310	13.099000	0.014000		V	ATE		138	140	110825		No	1.49	P		13.865		PTF11KLY		STD		
2455800.369795	13.140000	0.043000		V	NRU		140	141	5249CPN		No	1.632	P	16.241	16.502		PTF11KLY		STD		
2455800.370050	13.074000	0.014000		V	ATE		138	140	110825		No	1.49	P		13.882		PTF11KLY		STD		
2455800.370820	13.082000	0.014000		V	ATE		138	140	110825		No	1.50	P		13.877		PTF11KLY		STD		
2455800.371410	13.108000	0.017000		V	SJAR		ENSEMBLE	000-BKD-533	5249ALC		No	1.550	P		13.933		PTF11KLY		STD		
2455800.371570	13.077000	0.014000		V	ATE		138	140	110825		No	1.50	P		13.845		PTF11KLY		STD		
2455800.372310	13.082000	0.014000		V	ATE		138	140	110825		No	1.51	P		13.855		PTF11KLY		STD		
2455800.373050	13.065000	0.014000		V	ATE		138	140	110825		No	1.51	P		13.822		PTF11KLY		STD		
2455800.373758	13.049000	0.046000		V	NRU		140	141	5249CPN		No	1.657	P	16.360	16.508		PTF11KLY		STD		
2455800.373790	13.069000	0.014000		V	ATE		138	140	110825		No	1.51	P		13.819		PTF11KLY		STD		
2455800.374330	13.148000	0.030000		V	SJAR		ENSEMBLE	000-BKD-533	5249ALC		No	1.563	P		13.894		PTF11KLY		STD		
2455800.374530	13.087000	0.014000		V	ATE		138	140	110825		No	1.52	P		13.926		PTF11KLY		STD		
2455800.374690	13.118000	0.032000		V	RMU		ENSEMBLE	STAR 2	5249CHX		No	1.518	P		13.585		PTF11KLY		STD		
2455800.375270	13.075000	0.014000		V	ATE		138	140	110825		No	1.52	P		13.879		PTF11KLY		STD		
2455800.376010	13.069000	0.014000		V	ATE		138	140	110825		No	1.53	P		13.910		PTF11KLY		STD		
2455800.376790	13.055000	0.014000		V	ATE		138	140	110825		No	1.53	P		13.917		PTF11KLY		STD		
2455800.377530	13.044000	0.014000		V	ATE		138	140	110825		No	1.54	P		13.843		PTF11KLY		STD		
2455800.377725	13.056000	0.049000		V	NRU		140	141	5249CPN		No	1.683	P	16.398	16.507		PTF11KLY		STD		
2455800.378270	13.039000	0.014000		V	ATE		138	140	110825		No	1.54	P		13.877		PTF11KLY		STD		
2455800.378500	12.800000			Vis.	MZS		000		999999	826112105	No		P				SN 2011FE		STD		
2455800.379010	13.066000	0.014000		V	ATE		138	140	110825		No	1.55	P		13.869		PTF11KLY		STD		
2455800.379750	13.069000	0.014000		V	ATE		138	140	110825		No	1.55	P		13.905		PTF11KLY		STD		
2455800.380490	13.085000	0.014000		V	ATE		138	140	110825		No	1.56	P		13.901		PTF11KLY		STD		
2455800.381230	13.077000	0.014000		V	ATE		138	140	110825		No	1.56	P		13.902		PTF11KLY		STD		
2455800.382010	13.058000	0.014000		V	ATE		138	140	110825		No	1.57	P		13.829		PTF11KLY		STD		
2455800.382096	13.155000	0.048000		V	NRU		140	141	5249CPN		No	1.712	P	16.345	16.555		PTF11KLY		STD		
2455800.382750	13.061000	0.017000		V	ATE		138	140	110825		No	1.57	P		13.910		PTF11KLY		STD		
2455800.383490	13.048000	0.014000		V	ATE		138	140	110825		No	1.58	P		13.837		PTF11KLY		STD		
2455800.384230	13.059000	0.014000		V	ATE		138	140	110825		No	1.58	P		13.872		PTF11KLY		STD		
2455800.384980	13.040000	0.014000		V	ATE		138	140	110825		No	1.59	P		13.907		PTF11KLY		STD		
2455800.385978	13.121000	0.049000		V	NRU		140	141	5249CPN		No	1.739	P	16.364	16.544		PTF11KLY		STD		
2455800.389804	13.062000	0.049000		V	NRU		140	141	5249CPN		No	1.766	P	16.403	16.592		PTF11KLY		STD		
2455800.393943	13.108000	0.050000		V	NRU		140	141	5249CPN		No	1.794	P	16.366	16.670		PTF11KLY		STD		
2455800.397847	13.145000	0.053000		V	NRU		140	141	5249CPN		No	1.825	P	16.385	16.763		PTF11KLY		STD		
2455800.399310	13.030000	0.012000		V	MUY		138	140	5249mz		No		P	13.8	14.0		PTF11KLY		STD		
2455800.399340	13.089000			V	SWQ				5249ve		No		P	14.0	13.8		SN 2011FE		STD		
2455800.400880	13.081000	0.003000		V	SDI		ensembled		5249bri	1 measure	No	1.442	P				SN 2011FE		STD		
2455800.401688	13.053000	0.058000		V	NRU		140	141	5249CPN		No	1.854	P	16.518	16.722		PTF11KLY		STD		
2455800.405536	13.050000	0.061000		V	NRU		140	141	5249CPN		No	1.885	P	16.584	16.685		PTF11KLY		STD		
2455800.412000	12.900000			V	PYG	Y	117		5249doq	BRT	No		P	11.7			SN 2011FE		STD		
2455800.421530	13.040000	0.020000		V	KJAC		ensemble	ensemble	5252fd		No		P				SN 2011FE		STD		
2455800.562500	12.930000	0.010000		V	SHA		000-BKD-533	000-BKD-534	5249agx		No	1.33	P	13.801	13.991		SN 2011FE		STD		
2455800.581000	13.010000	0.050000		V	RHM		ensemble	5249bgj	5249bgj	Includes color terms.	No		P				PTF11KLY		STD		
2455800.597220	13.000000	0.030000		V	GNZ		ensemble		PTF11kly		No		P				SN 2011FE		STD		
2455800.609700	12.900000			Vis.	BTB		128	131	5249oe		No		P				PTF11KLY		STD		
2455800.621377	12.962000	0.006000		V	STIA		000-BKD-533	000-BKD-538	5258CH		No	1.520	P	15.489	17.205		SN 2011FE		STD		
2455800.663900	12.800000			Vis.	KRB	Y	128	131	030805	BRIGHTER USED TT BOO SEQ	No		P				SN 2011FE		STD		
2455800.685320	12.921000	0.042700		V	TDW		140	138	5249cnd		No	1.320	P	13.991	13.801		PTF11KLY		STD		
2455800.701390	12.500000			Vis.	SGE		119	128	5249ANB	18.5 inch telescope at SSSP	No		P				SN 2011FE		STD		
2455800.713890	12.700000			Vis.	WLY		119	133	5249TH		No		P				PTF11KLY		STD		
2455800.729200	12.600000			Vis.	DJX		119	128	5249anb	Observation at Saskatchewan Summer Star Party with 18in Dob	No		P				PTF11kly		STD		
2455800.743060	12.600000			Vis.	PAH		119	128	5249anb	from Saskatchewan Star Party	No		P				SN 2011FE		STD		
2455800.759720	12.600000			Vis.	HUZ		119	128	5252FTP	FROM SASK SUMMER STAR PARTY	No		P				SN 2011FE		STD		
2455800.766540	12.944000	0.012000		V	SRIC		ENSEMBLE	000-BKD-527	5249CV	MEAN 3 OBS. ERR BY QUADRATURE	No	2.21	P		11.668		PTF11KLY		STD		
2455800.779170	13.000000			Vis.	RR		13.1	13.8	5249DID		No		P				SN 2011FE		STD		
2455800.817070	12.940000	0.020000		V	RIJ	L	138	140	5249cxz		No		P	12.94	13.86		PTF11kly		STD		
2455801.316000	12.700000			Vis.	DPV		11.9	12.8	5249DPC		No		P				SN 2011FE		STD		
2455801.319400	12.300000			Vis.	PLP		119	123	5251QX		No		P				SN 2011FE		STD		
2455801.344510	12.530000	0.011000		V	ATE		138	140	110825		No	1.37	P		13.848		SN 2011FE		STD		
2455801.345400	12.480000	0.011000		V	ATE		138	140	110825		No	1.38	P		13.836		SN 2011FE		STD		
2455801.346140	12.485000	0.011000		V	ATE		138	140	110825		No	1.38	P		13.879		SN 2011FE		STD		
2455801.346880	12.527000	0.011000		V	ATE		138	140	110825		No	1.38	P		13.899		SN 2011FE		STD		
2455801.347620	12.502000	0.011000		V	ATE		138	140	110825		No	1.39	P		13.853		SN 2011FE		STD		
2455801.348360	12.527000	0.011000		V	ATE		138	140	110825		No	1.39	P		13.880		SN 2011FE		STD		
2455801.349100	12.506000	0.011000		V	ATE		138	140	110825		No	1.39	P		13.890		SN 2011FE		STD		
2455801.349880	12.508000	0.011000		V	ATE		138	140	110825		No	1.40	P		13.851		SN 2011FE		STD		
2455801.350000	12.500000			Vis.	KWO		119	128	5249axn		No		P				SN 2011FE		STD		
2455801.350620	12.508000	0.011000		V	ATE		138	140	110825		No	1.40	P		13.825		SN 2011FE		STD		
2455801.351360	12.520000	0.011000		V	ATE		138	140	110825		No	1.41	P		13.888		SN 2011FE		STD		
2455801.352100	12.481000	0.011000		V	ATE		138	140	110825		No	1.41	P		13.842		SN 2011FE		STD		
2455801.352870	12.508000	0.011000		V	ATE		138	140	110825		No	1.41	P		13.883		SN 2011FE		STD		
2455801.353610	12.488000	0.011000		V	ATE		138	140	110825		No	1.42	P		13.844		SN 2011FE		STD		
2455801.354170	12.600000			Vis.	WKL		12.9	12.0	SN Search charts	Observation with 6 inch Newton	No		P				SN 2011FE		STD		
2455801.354380	12.507000	0.010000		V	ATE		138	140	110825		No	1.42	P		13.875		SN 2011FE		STD		
2455801.355130	12.482000	0.010000		V	ATE		138	140	110825		No	1.43	P		13.850		SN 2011FE		STD		
2455801.355880	12.481000	0.011000		V	ATE		138	140	110825		No	1.43	P		13.857		SN 2011FE		STD		
2455801.356620	12.506000	0.011000		V	ATE		138	140	110825		No	1.43	P		13.853		SN 2011FE		STD		
2455801.357360	12.526000	0.011000		V	ATE		138	140	110825		No	1.44	P		13.849		SN 2011FE		STD		
2455801.358110	12.496000	0.011000		V	ATE		138	140	110825		No	1.44	P		13.848		SN 2011FE		STD		
2455801.358850	12.497000	0.011000		V	ATE		138	140	110825		No	1.45	P		13.868		SN 2011FE		STD		
2455801.359620	12.487000	0.011000		V	ATE		138	140	110825		No	1.45	P		13.826		SN 2011FE		STD		
2455801.360360	12.483000	0.011000		V	ATE		138	140	110825		No	1.45	P		13.840		SN 2011FE		STD		
2455801.360400	12.500000			Vis.	GZN		120	128	THOMPSON-BRYAN		No		P				SN 2011FE		STD		
2455801.361100	12.511000	0.011000		V	ATE		138	140	110825		No	1.46	P		13.826		SN 2011FE		STD		
2455801.361920	12.477000	0.011000		V	ATE		138	140	110825		No	1.46	P		13.809		SN 2011FE		STD		
2455801.362670	12.500000	0.011000		V	ATE		138	140	110825		No	1.47	P		13.822		SN 2011FE		STD		
2455801.363410	12.497000	0.011000		V	ATE		138	140	110825		No	1.47	P		13.873		SN 2011FE		STD		
2455801.364180	12.494000	0.010000		V	ATE		138	140	110825		No	1.47	P		13.828		SN 2011FE		STD		
2455801.364920	12.480000	0.011000		V	ATE		138	140	110825		No	1.48	P		13.830		SN 2011FE		STD		
2455801.365660	12.486000	0.011000		V	ATE		138	140	110825		No	1.48	P		13.800		SN 2011FE		STD		
2455801.366440	12.488000	0.011000		V	ATE		138	140	110825		No	1.49	P		13.809		SN 2011FE		STD		
