2447727.400000	8.500000			Vis.	KOC						No		G				AA CAS		STD		
2447731.410000	8.400000			Vis.	PMR						No		G				AA CAS		STD		
2447734.400000	8.400000			Vis.	PPS						No		G				AA CAS		STD		
2447736.400000	8.800000			Vis.	MZS						No		G				AA CAS		STD		
2447736.400000	8.500000			Vis.	PMR						No		G				AA CAS		STD		
2447742.400000	8.400000			Vis.	PMR						No		G				AA CAS		STD		
2447744.400000	8.200000			Vis.	SJZ						No		G				AA CAS		STD		
2447744.400000	8.200000			Vis.	PPS						No		G				AA CAS		STD		
2447748.380000	8.500000			Vis.	PMR						No		G				AA CAS		STD		
2447749.500000	8.600000			Vis.	SJQ						No		G				AA CAS		STD		
2447752.400000	8.600000			Vis.	MZS						No		G				AA CAS		STD		
2447753.390000	8.700000			Vis.	PMR						No		G				AA CAS		STD		
2447754.300000	8.300000			Vis.	VED						No		G				AA CAS		STD		
2447761.300000	8.600000			Vis.	VED						No		G				AA CAS		STD		
2447766.400000	8.400000			Vis.	SJQ						No		G				AA CAS		STD		
2447768.300000	8.500000			Vis.	VED						No		G				AA CAS		STD		
2447768.400000	8.900000			Vis.	MZS						No		G				AA CAS		STD		
2447769.850000	8.300000			Vis.	OCN						No		G				AA CAS		STD		
2447776.300000	8.800000			Vis.	VED						No		G				AA CAS		STD		
2447776.400000	8.600000			Vis.	SJZ						No		G				AA CAS		STD		
2447776.500000	8.900000			Vis.	KOS						No		G				AA CAS		STD		
2447777.300000	8.700000			Vis.	FRF						No		G				AA CAS		STD		
2447777.400000	8.700000			Vis.	PPS						No		G				AA CAS		STD		
2447780.500000	8.900000			Vis.	TPS						No		G				AA CAS		STD		
2447787.300000	9.200000			Vis.	VED						No		G				AA CAS		STD		
2447789.300000	8.400000			Vis.	SJQ						No		G				AA CAS		STD		
2447789.400000	8.800000			Vis.	PPS						No		G				AA CAS		STD		
2447790.300000	8.800000			Vis.	FFC						No		G				AA CAS		STD		
2447791.300000	8.800000			Vis.	VED						No		G				AA CAS		STD		
2447793.400000	8.900000			Vis.	KOS						No		G				AA CAS		STD		
2447797.400000	8.900000			Vis.	KOS						No		G				AA CAS		STD		
2447798.400000	8.100000			Vis.	MDI						No		G				AA CAS		STD		
2447799.300000	8.800000			Vis.	VED						No		G				AA CAS		STD		
2447799.400000	8.300000			Vis.	SJZ						No		G				AA CAS		STD		
2447801.700000	8.400000			Vis.	AAP						No		G				AA CAS		STD		
2447802.300000	8.300000			Vis.	MDI						No		G				AA CAS		STD		
2447803.300000	8.500000			Vis.	FDA						No		G				AA CAS		STD		
2447805.300000	8.300000			Vis.	FRF						No		G				AA CAS		STD		
2447805.300000	8.200000			Vis.	SJZ						No		G				AA CAS		STD		
2447805.360000	8.700000			Vis.	PMR						No		G				AA CAS		STD		
2447808.300000	8.300000			Vis.	VED						No		G				AA CAS		STD		
2447812.520000	8.800000			Vis.	GRL						No		G				AA CAS		STD		
2447815.300000	8.400000			Vis.	KOC						No		G				AA CAS		STD		
2447816.300000	8.100000			Vis.	VED						No		G				AA CAS		STD		
2447817.300000	8.600000			Vis.	SJQ						No		G				AA CAS		STD		
2447820.300000	8.500000			Vis.	FDA						No		G				AA CAS		STD		
2447821.300000	8.600000			Vis.	SJQ						No		G				AA CAS		STD		
2447822.500000	8.700000			Vis.	KOS						No		G				AA CAS		STD		
2447823.170000	8.700000			Vis.	PMR						No		G				AA CAS		STD		
2447823.300000	8.000000			Vis.	SJZ						No		G				AA CAS		STD		
2447823.400000	8.600000			Vis.	PPS						No		G				AA CAS		STD		
