2453417.69,3.0,,,Visual,BJOH,K,,,,,No,,G,,,,eps aur
2453418.65,2.9,,,Visual,BJOH,K,,,,,No,,G,,,,eps aur
2453426.65,3.1,,,Visual,BJOH,K,,,,,No,,G,,,,eps aur
2453427.69,3.0,,,Visual,BJOH,K,,,,,No,,G,,,,eps aur
2453431.3701,2.9,,,Visual,RJG,,28,36,SAB1986,,No,,G,,,,eps aur
2453431.3715,3.0,,,Visual,CAI,,28,36,SAB1986,,No,,G,,,,eps aur
2453436.60,3.4,,,Visual,BJOH,K,,,,,No,,G,,,,eps aur
2453437.63,2.9,,,Visual,BJOH,K,,,,,No,,G,,,,eps aur
2453439.66,3.1,,,Visual,BJOH,K,,,,,No,,G,,,,eps aur
2453441.61,3.1,,,Visual,BJOH,K,,,,,No,,G,,,,eps aur
2453442.316,3.0,,,Visual,SYF,T,31,,TYCHO,,No,,G,,,,eps aur
2453443.62,3.0,,,Visual,BJOH,K,,,,,No,,G,,,,eps aur
2453444.61,3.1,,,Visual,BJOH,K,,,,,No,,G,,,,eps aur
2453450.74,3.2,,,Visual,BJOH,K,,,,,No,,G,,,,eps aur
2453455.61,3.0,,,Visual,BJOH,K,,,,,No,,G,,,,eps aur
2453458.62,3.0,,,Visual,BJOH,K,,,,,No,,G,,,,eps aur
2453459.3229,3.0,,,Visual,SYF,T,31,,TYCHO,,No,,G,,,,eps aur
2453460.63,3.0,,,Visual,BJOH,K,,,,,No,,G,,,,eps aur
2453463.62,3.1,,,Visual,BJOH,K,,,,,No,,G,,,,eps aur
2453465.4153,3.1,,,Visual,SYI,T,27,32,,,No,,G,,,,eps aur
2453468.64,3.0,,,Visual,BJOH,K,,,,,No,,G,,,,eps aur
2453470.334,3.0,,,Visual,RJG,,27,36,SAB1986,,No,,G,,,,eps aur
2453470.3361,3.1,,,Visual,CAI,,27,36,SAB1986,,No,,G,,,,eps aur
2453470.63,2.9,,,Visual,BJOH,K,,,,,No,,G,,,,eps aur
2453472.63,3.0,,,Visual,BJOH,K,,,,,No,,G,,,,eps aur
2453476.64,3.1,,,Visual,BJOH,K,,,,,No,,G,,,,eps aur
2453482.65,3.1,,,Visual,BJOH,K,,,,,No,,G,,,,eps aur
2453493.66,3.1,,,Visual,BJOH,,,,,,No,,G,,,,eps aur
2453494.64,3.1,,,Visual,BJOH,,,,,,No,,G,,,,eps aur
2453496.3819,3.0,,,Visual,RJG,,27,36,SAB1986,,No,,G,,,,eps aur
2453496.3854,3.0,,,Visual,CAI,,27,36,SAB1986,,No,,G,,,,eps aur
2453499.64,3.0,,,Visual,BJOH,,,,,,No,,G,,,,eps aur
2453502.65,3.0,,,Visual,BJOH,,,,,,No,,G,,,,eps aur
2453505.65,3.0,,,Visual,BJOH,,,,,,No,,G,,,,eps aur
2453509.64,2.9,,,Visual,BJOH,,,,,,No,,G,,,,eps aur
2453510.65,3.0,,,Visual,BJOH,,,,,,No,,G,,,,eps aur
2453568.99,3.6,,,Visual,BJOH,,,,,,No,,G,,,,eps aur
2453574.00,3.5,,,Visual,BJOH,,,,,,No,,G,,,,eps aur
2453575.97,3.1,,,Visual,BJOH,,,,,,No,,G,,,,eps aur
2453581.00,3.4,,,Visual,BJOH,,,,,,No,,G,,,,eps aur
2453584.98,3.5,,,Visual,BJOH,,,,,,No,,G,,,,eps aur
2453593.00,3.1,,,Visual,BJOH,,,,,,No,,G,,,,eps aur
2453598.01,3.5,,,Visual,BJOH,,,,,,No,,G,,,,eps aur
2453602.4854,2.9,,,Visual,SYI,T,27,31,,,No,,G,,,,eps aur
2453603.98,3.3,,,Visual,BJOH,,,,,,No,,G,,,,eps aur
2453610.5056,3.0,,,Visual,SYI,T,27,31,,,No,,G,,,,eps aur
2453612.4938,3.0,,,Visual,SYI,T,27,31,,,No,,G,,,,eps aur
2453613.01,3.4,,,Visual,BJOH,,,,,,No,,G,,,,eps aur
2453615.4389,3.0,,,Visual,SYI,T,27,32,,,No,,G,,,,eps aur
2453617.88,3.4,,,Visual,BJOH,,,,,,No,,G,,,,eps aur
2453619.4299,3.0,,,Visual,SYI,T,27,32,,,No,,G,,,,eps aur
2453620.4820,3.0,,,Visual,SYI,T,27,32,,,No,,G,,,,eps aur
2453620.99,3.4,,,Visual,BJOH,,,,,,No,,G,,,,eps aur
