2423130.3,0.80,,,Vis.,AN,,,,,,No,,G,,,,alf ori,STD,,
2423130.33,0.90,,,Vis.,L,,,,,,No,,G,,,,alf ori,STD,,
2423315.6,0.80,,,Vis.,AN,,,,,,No,,G,,,,alf ori,STD,,
2423329.65,0.80,,,Vis.,L,,,,,,No,,G,,,,alf ori,STD,,
2423330.6,0.80,,,Vis.,AN,,,,,,No,,G,,,,alf ori,STD,,
2423369.6,0.70,,,Vis.,AN,,,,,,No,,G,,,,alf ori,STD,,
2423381.7,0.80,,,Vis.,AN,,,,,,No,,G,,,,alf ori,STD,,
2423438.3,0.90,,,Vis.,AN,,,,,,No,,G,,,,alf ori,STD,,
2423438.4,1.00,,,Vis.,L,,,,,,No,,G,,,,alf ori,STD,,
2423439.3,0.90,,,Vis.,L,,,,,,No,,G,,,,alf ori,STD,,
2423446.3,0.80,,,Vis.,L,,,,,,No,,G,,,,alf ori,STD,,
2423457.3,0.70,,,Vis.,AN,,,,,,No,,G,,,,alf ori,STD,,
2423464.3,0.70,,,Vis.,AN,,,,,,No,,G,,,,alf ori,STD,,
2423465.3,0.70,,,Vis.,AN,,,,,,No,,G,,,,alf ori,STD,,
2423466.3,0.80,,,Vis.,AN,,,,,,No,,G,,,,alf ori,STD,,
2423472.3,0.80,,,Vis.,AN,,,,,,No,,G,,,,alf ori,STD,,
2423473.3,0.80,,,Vis.,AN,,,,,,No,,G,,,,alf ori,STD,,
2423479.315,1.00,,,Vis.,L,,,,,,No,,G,,,,alf ori,STD,,
2423484.302,0.80,,,Vis.,L,,,,,,No,,G,,,,alf ori,STD,,
2423485.3,0.90,,,Vis.,AN,,,,,,No,,G,,,,alf ori,STD,,
2423489.266,0.90,,,Vis.,L,,,,,,No,,G,,,,alf ori,STD,,
2423490.3,0.90,,,Vis.,AN,,,,,,No,,G,,,,alf ori,STD,,
2423492.271,0.90,,,Vis.,L,,,,,,No,,G,,,,alf ori,STD,,
2423496.294,0.90,,,Vis.,L,,,,,,No,,G,,,,alf ori,STD,,
2423497.317,0.90,,,Vis.,L,,,,,,No,,G,,,,alf ori,STD,,
2423498.288,0.80,,,Vis.,L,,,,,,No,,G,,,,alf ori,STD,,
2423498.3,0.90,,,Vis.,AN,,,,,,No,,G,,,,alf ori,STD,,
