JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer
2455798.33333,14.5,0.5,,TR,RWAA,,ensemble,,gsc2.3,EOS40D Baader ACF filter,0,,Z,,,,SN 2011FE,0,STD,,,
2455798.33333,15.5,0.5,,TB,RWAA,,ensemble,,gsc2.3,EOS40D Baader ACF filter ,0,,Z,,,,SN 2011FE,0,STD,,,
2455798.33333,15.0,0.5,,TG,RWAA,,ensemble,,gsc2.3,EOS 40D with baader ACF filter,0,,Z,,,,PTF11kly,0,STD,,,
2455798.59267,14.890,0.076,,V,ROE,,ENSEMBLE,141,5248AU,U,0,1.420,Z,,14.099,,PTF11KLY,0,STD,,,
2455798.63354,14.76,0.05,,V,HSW,,000-BKD-533,000-BKD-538,5253ahq,,0,,Z,13.801,15.475,,PTF11kly,0,STD,,,
2455798.646713,15.149,0.028,,B,SRIC,,ENSEMBLE,000-BKD-527,5249CV,,0,1.319,Z,,12.300,,PTF11KLY,0,STD,1,,
2455798.65199,14.789,0.014,,V,SRIC,,ENSEMBLE,000-BKD-527,5249CV,MEAN 3 OBS. ERR BY QUADRATURE,0,1.33,Z,,11.726,,PTF11KLY,0,STD,,,
2455798.65537,14.657,0.01,,CV,KRV,,GSC 3852 0180,GSC 3852 1128,,"\"USED CMAG=13.65, KMAG=13.77\"",0,1.554,Z,13.606,13.637,,PTF11KLY,0,STD,,,
2455798.65655,14.706,0.01,,CV,KRV,,GSC 3852 0180,GSC 3852 1128,,"\"USED CMAG=13.65, KMAG=13.77\"",0,1.561,Z,13.605,13.638,,PTF11KLY,0,STD,,,
2455798.65889,14.683,0.01,,CV,KRV,,GSC 3852 0180,GSC 3852 1128,,"\"USED CMAG=13.65, KMAG=13.77\"",0,1.577,Z,13.596,13.647,,PTF11KLY,0,STD,,,
2455798.66007,14.690,0.01,,CV,KRV,,GSC 3852 0180,GSC 3852 1128,,"\"USED CMAG=13.65, KMAG=13.77\"",0,1.585,Z,13.606,13.637,,PTF11KLY,0,STD,,,
2455798.66124,14.657,0.01,,CV,KRV,,GSC 3852 0180,GSC 3852 1128,,"\"USED CMAG=13.65, KMAG=13.77\"",0,1.593,Z,13.594,13.649,,PTF11KLY,0,STD,,,
2455798.66242,14.681,0.01,,CV,KRV,,GSC 3852 0180,GSC 3852 1128,,"\"USED CMAG=13.65, KMAG=13.77\"",0,1.602,Z,13.616,13.627,,PTF11KLY,0,STD,,,
2455798.66359,14.685,0.01,,CV,KRV,,GSC 3852 0180,GSC 3852 1128,,"\"USED CMAG=13.65, KMAG=13.77\"",0,1.610,Z,13.601,13.642,,PTF11KLY,0,STD,,,
2455798.68743,14.593,0.01,,CV,KRV,,GSC 3852 0180,GSC 3852 1128,,"\"USED CMAG=13.65, KMAG=13.77\"",0,1.804,Z,13.623,13.620,,PTF11KLY,0,STD,,,
2455798.68866,14.654,0.01,,CV,KRV,,GSC 3852 0180,GSC 3852 1128,,"\"USED CMAG=13.65, KMAG=13.77\"",0,1.816,Z,13.604,13.639,,PTF11KLY,0,STD,,,
2455798.70000,14.7,,,N/A,RR,,14.9,14.0,THOMPSON-BRYAN,SN is bluish in color. Used Thompson-Bryan SNae chart.,,,Z,,,,PTF11KLY,0,STD,,,
2455798.80903,14.3,,,N/A,BRJA,,140,138,5253alh,DSLR Image Captured Observer ID4502C14 @ F7 602 second exposure ISO 800,,,Z,,,,PTF11kly,0,STD,,,
2455799.30,13.8,,,Vis.,HCS,,000,,999999,,,,Z,,,,SN 2011FE,3,STD,,,
2455799.318822,13.93,0.05,,V,NRU,,140,141,5249BFY,,0,1.358,Z,15.53,15.66,,PTF11KLY,0,STD,,,
2455799.32,13.9,,,Vis.,BFO,,000,,999999,,,,Z,,,,SN 2011FE,3,STD,,,
2455799.3233,13.97,0.04,,V,NRU,,140,141,5249BFY,,0,1.374,Z,15.45,15.73,,PTF11KLY,0,STD,,,
2455799.329405,13.87,0.06,,V,NRU,,140,141,5249BFY,,0,1.403,Z,16.31,16.57,,PTF11KLY,0,STD,,,
2455799.33424,13.89,0.05,,V,NRU,,140,141,5249BFY,,0,1.423,Z,16.26,16.55,,PTF11KLY,0,STD,,,
2455799.339094,13.97,0.06,,V,NRU,,140,141,5249BFY,,0,1.445,Z,16.34,16.58,,PTF11KLY,0,STD,,,
2455799.344133,13.87,0.06,,V,NRU,,140,141,5249BFY,,0,1.470,Z,16.31,16.43,,PTF11KLY,0,STD,,,
2455799.349154,13.82,0.06,,V,NRU,,140,141,5249BFY,,0,1.495,Z,16.40,16.49,,PTF11KLY,0,STD,,,
2455799.354118,13.86,0.06,,V,NRU,,140,141,5249BFY,,0,1.521,Z,16.39,16.45,,PTF11KLY,0,STD,,,
2455799.359184,13.80,0.06,,V,NRU,,140,141,5249BFY,,0,1.549,Z,16.39,16.49,,PTF11KLY,0,STD,,,
2455799.364214,13.89,0.06,,V,NRU,,140,141,5249BFY,,0,1.577,Z,16.33,16.57,,PTF11KLY,0,STD,,,
2455799.369321,13.93,0.06,,V,NRU,,140,141,5249BFY,,0,1.608,Z,16.38,16.63,,PTF11KLY,0,STD,,,
2455799.374355,13.79,0.06,,V,NRU,,140,141,5249BFY,,0,1.639,Z,16.46,16.50,,PTF11KLY,0,STD,,,
2455799.379309,13.85,0.06,,V,NRU,,140,141,5249BFY,,0,1.670,Z,16.43,16.49,,PTF11KLY,0,STD,,,
2455799.38194,14.0,,,Vis.,STI,,138,146,5249kf,"CCD img., Slooh, Tenerife",,,Z,,,,PTF11KLY,0,STD,,,
2455799.384374,13.85,0.06,,V,NRU,,140,141,5249BFY,,0,1.704,Z,16.43,16.72,,PTF11KLY,0,STD,,,
2455799.389323,13.86,0.07,,V,NRU,,140,141,5249BFY,,0,1.738,Z,16.45,16.67,,PTF11KLY,0,STD,,,
2455799.394334,13.93,0.06,,V,NRU,,140,141,5249BFY,,0,1.773,Z,16.41,16.62,,PTF11KLY,0,STD,,,
2455799.39945,13.84,0.07,,V,NRU,,140,141,5249BFY,,0,1.810,Z,16.54,16.90,,PTF11KLY,0,STD,,,
2455799.404444,13.81,0.07,,V,NRU,,140,141,5249BFY,,0,1.848,Z,16.53,16.70,,PTF11KLY,0,STD,,,
2455799.409301,13.73,0.08,,V,NRU,,140,141,5249BFY,,0,1.887,Z,16.60,16.83,,PTF11KLY,0,STD,,,
2455799.41172,13.816,0.045,,V,DAJB,,ENSEMBLE,131,5251QR,,0,1.929,Z,,13.126,,PTF11KLY,0,STD,1,,
2455799.41417,13.83,0.08,,V,NRU,,140,141,5249BFY,,0,1.926,Z,16.58,16.69,,PTF11KLY,0,STD,,,
2455799.41633,14.13,0.04,,B,RIV,,000-BKD-533,000-BKD-534,5249BDO,,0,,Z,14.699,14.557,,PTF11KLY,0,STD,1,,
2455799.419036,13.98,0.08,,V,NRU,,140,141,5249BFY,,0,1.968,Z,16.58,16.82,,PTF11KLY,0,STD,,,
2455799.42289,13.769,0.063,,V,DAJB,,ENSEMBLE,131,5251QR,,0,2.057,Z,,13.151,,PTF11KLY,0,STD,1,,
2455799.42330,13.90,0.02,,V,RIV,,000-BKD-533,000-BKD-534,5249BDO,,0,,Z,13.801,13.991,,PTF11KLY,0,STD,1,,
2455799.423894,13.89,0.08,,V,NRU,,140,141,5249BFY,,0,2.009,Z,16.59,16.69,,PTF11KLY,0,STD,,,
2455799.42569,13.74,0.04,,R,KJAC,,ensemble,ensemble,5252baf,,0,,Z,,,,SN 2011FE,0,STD,,,
2455799.42778,13.81,0.015,,V,MUY,,138,140,5249mz,,0,,Z,13.8,14.0,,PTF11KLY,5,STD,,,
2455799.42804,13.831,,,V,SWQ,,,,5249ve,,0,,Z,14.0,13.8,,SN 2011FE,13,STD,,,
2455799.428984,13.87,0.08,,V,NRU,,140,141,5249BFY,,0,2.051,Z,16.56,16.75,,PTF11KLY,0,STD,,,
2455799.42986,13.84,0.03,,V,KJAC,,ensemble,ensemble,5252baf,,0,,Z,,,,SN 2011FE,0,STD,,,
2455799.43333,14.18,0.03,,B,KJAC,,ensemble,ensemble,5252baf,,0,,Z,,,,PTF11kly,0,STD,,,
2455799.43789,13.83,0.04,,V,SNJ,,ensemble	,ensemble	,5249ve,BRT job brt-139385,0,,Z,,,,SN 2011FE,0,STD,,,
2455799.43789,14.08,0.10,,B,SNJ,,ensemble	,ensemble	,5249ve,BRT job brt-139385,0,,Z,,,,SN 2011FE,0,STD,,,
2455799.43791,13.82,,,V,SWQ,,,,5249ve,,0,,Z,14.0,13.8,,SN 2011FE,13,STD,,,
2455799.529485,13.54,0.21,,V,NRU,,140,141,5249BFY,,0,3.201,Z,17.51,17.54,,PTF11KLY,0,STD,,,
2455799.554,13.68,0.08,,R,RHM,U,ensemble,5249bgj,5249bgj,No color terms used in reduction.Revised value includes color terms,0,,Z,,,,PTF11kly,0,STD,,,
2455799.560,13.73,0.08,,V,RHM,U,ensemble,5249bgj,5249bgj,Revised value includes color terms,0,,Z,,,,PTF11kly,0,STD,,,
2455799.57639,13.66,0.02,,V,SHA,,000-BKD-533,000-BKD-534,5249agx,,0,1.38,Z,13.801,13.991,,PTF11KLY,0,STD,,,
2455799.579456,13.796,0.005,,CV,UJHA,,000-BKD-534,000-BKD-533,5251SS,,0,,Z,11.951,11.801,,SN 2011FE,0,STD,,,
2455799.57986,14.12,0.02,,B,SHA,,000-BKD-533,000-BKD-534,5249agx,,0,1.40,Z,14.699,14.557,,PTF11KLY,0,STD,,,
2455799.580,13.65,0.11,,I,RHM,U,ensemble,5249bgj,5249bgj,No color terms used in reduction.Revised value includes color terms,0,,Z,,,,PTF11kly,0,STD,,,
2455799.583449,13.794,0.005,,CV,UJHA,,000-BKD-534,000-BKD-533,5251SS,,0,,Z,11.941,11.793,,SN 2011FE,0,STD,,,
2455799.58403,13.68,0.03,,I,SHA,,000-BKD-533,000-BKD-534,5249agx,,0,1.42,Z,12.698,13.197,,PTF11KLY,0,STD,,,
2455799.587523,13.789,0.005,,CV,UJHA,,000-BKD-534,000-BKD-533,5251SS,,0,,Z,11.949,11.803,,SN 2011FE,0,STD,,,
2455799.596,14.00,0.12,,B,RHM,U,ensemble,5249bgj,5249bgj,Revised value includes color terms,0,,Z,,,,PTF11kly,0,STD,,,
2455799.62688,13.764,0.026,,V,ROE,,ENSEMBLE,141,5248AU,,0,1.686,Z,,14.049,,PTF11KLY,0,STD,,,
2455799.6285,13.6,,,Vis.,KRB,Y,131,138,030805,NEW SUPERNOVA USED TT BOO SEQ,,,Z,,,,SN 2011FE,0,STD,,,
2455799.64243,13.923,0.037,,B,SRIC,,ENSEMBLE,000-BKD-527,5249CV,MEAN 3 OBS. ERR BY QUADRATURE,0,1.30,Z,,12.240,,PTF11KLY,0,STD,,,
2455799.65093,13.712,0.009,,V,SRIC,,ENSEMBLE,000-BKD-527,5249CV,MEAN 3 OBS. ERR BY QUADRATURE,0,1.34,Z,,11.848,,PTF11KLY,0,STD,,,
2455799.69448,13.638,0.011,,V,EEY,,138,140,5646dfp,"12\"SCT, ST-7E, Schuler-V, 60sec X 4",0,,Z,13.801,13.960,,PTF11KLY,0,STD,,,
2455799.69653,<13.4,,,Vis.,WLY,,134,,5249TH,,,,Z,,,,PTF11KLY,0,STD,,,
2455800.27110,13.290,0.003,,CV,AANC,,GSC 3852:1108,GSC 3852:1069,5249ctf,Full details at http://www.perseus.gr/Astro-DSO-Supernovae-SN2011fe-20110826.htm,0,,Z,11.7,11.9,,SN 2011FE,0,STD,,,
2455800.286137,13.105,0.065,,V,NRU,,140,141,5249CPN,,0,1.249,Z,16.212,16.268,,PTF11KLY,0,STD,,,
2455800.290041,13.050,0.057,,V,NRU,,140,141,5249CPN,,0,1.262,Z,16.398,16.415,,PTF11KLY,0,STD,,,
2455800.294219,13.105,0.046,,V,NRU,,140,141,5249CPN,,0,1.277,Z,16.219,16.436,,PTF11KLY,0,STD,,,
2455800.298068,13.202,0.041,,V,NRU,,140,141,5249CPN,,0,1.290,Z,16.092,16.385,,PTF11KLY,0,STD,,,
2455800.301916,13.103,0.042,,V,NRU,,140,141,5249CPN,,0,1.304,Z,16.210,16.271,,PTF11KLY,0,STD,,,
2455800.305773,13.172,0.039,,V,NRU,,140,141,5249CPN,,0,1.318,Z,16.132,16.263,,PTF11KLY,0,STD,,,
2455800.309619,13.190,0.040,,V,NRU,,140,141,5249CPN,,0,1.333,Z,16.161,16.448,,PTF11KLY,0,STD,,,
2455800.313469,13.067,0.041,,V,NRU,,140,141,5249CPN,,0,1.348,Z,16.223,16.359,,PTF11KLY,0,STD,,,
2455800.317499,13.171,0.040,,V,NRU,,140,141,5249CPN,,0,1.364,Z,16.233,16.380,,PTF11KLY,0,STD,,,
2455800.321606,13.151,0.043,,V,NRU,,140,141,5249CPN,,0,1.382,Z,16.214,16.451,,PTF11KLY,0,STD,,,
2455800.325682,13.116,0.043,,V,NRU,,140,141,5249CPN,,0,1.400,Z,16.294,16.385,,PTF11KLY,0,STD,,,
2455800.329876,13.167,0.042,,V,NRU,,140,141,5249CPN,,0,1.418,Z,16.244,16.386,,PTF11KLY,0,STD,,,
2455800.33,13.0,,,Vis.,GGZ,,000,,999999,,,,Z,,,,SN 2011FE,3,STD,,,
2455800.333911,13.122,0.043,,V,NRU,,140,141,5249CPN,,0,1.437,Z,16.235,16.464,,PTF11KLY,0,STD,,,
2455800.337972,13.109,0.045,,V,NRU,,140,141,5249CPN,,0,1.457,Z,16.343,16.445,,PTF11KLY,0,STD,,,
2455800.3389,13.0,,,Vis.,KWO,,128,131,5249axn,,,,Z,,,,PTF11KLY,2,STD,,,
2455800.341932,13.185,0.042,,V,NRU,,140,141,5249CPN,,0,1.477,Z,16.188,16.418,,PTF11KLY,0,STD,,,
2455800.345924,13.097,0.044,,V,NRU,,140,141,5249CPN,,0,1.497,Z,16.315,16.516,,PTF11KLY,0,STD,,,
2455800.34989,13.125,0.047,,V,NRU,,140,141,5249CPN,,0,1.518,Z,16.342,16.518,,PTF11KLY,0,STD,,,
2455800.35386,13.095,0.044,,V,NRU,,140,141,5249CPN,,0,1.539,Z,16.284,16.441,,PTF11KLY,0,STD,,,
2455800.357869,13.116,0.044,,V,NRU,,140,141,5249CPN,,0,1.562,Z,16.333,16.419,,PTF11KLY,0,STD,,,
2455800.358,13.1,,,Vis.,PIJ,,131,133,5249BEA,,,,Z,,,,SN 2011FE,3,STD,,,
2455800.36157,13.100,0.014,,V,ATE,,138,140,110825,,0,1.44,Z,,13.878,,PTF11KLY,0,STD,,,
2455800.36184,13.170,0.043,,V,NRU,,140,141,5249CPN,,0,1.585,Z,16.275,16.521,,PTF11KLY,0,STD,,,
2455800.36251,13.079,0.014,,V,ATE,,138,140,110825,,0,1.45,Z,,13.854,,PTF11KLY,0,STD,,,
2455800.36325,13.103,0.014,,V,ATE,,138,140,110825,,0,1.45,Z,,13.871,,PTF11KLY,0,STD,,,
2455800.36406,13.075,0.014,,V,ATE,,138,140,110825,,0,1.46,Z,,13.913,,PTF11KLY,0,STD,,,
2455800.36483,13.091,0.014,,V,ATE,,138,140,110825,,0,1.46,Z,,13.855,,PTF11KLY,0,STD,,,
2455800.36557,13.066,0.014,,V,ATE,,138,140,110825,,0,1.47,Z,,13.871,,PTF11KLY,0,STD,,,
2455800.36576,13.137,0.016,,V,MIW,,ENSEMBLE,141,5249ASP,MEAN OF 5 MEASUREMENTS,0,,Z,,14.119,,PTF11KLY,20,STD,,,
2455800.365807,13.036,0.046,,V,NRU,,140,141,5249CPN,,0,1.608,Z,16.376,16.566,,PTF11KLY,0,STD,,,
2455800.36631,13.083,0.014,,V,ATE,,138,140,110825,,0,1.47,Z,,13.856,,PTF11KLY,0,STD,,,
2455800.36706,13.089,0.014,,V,ATE,,138,140,110825,,0,1.48,Z,,13.873,,PTF11KLY,0,STD,,,
2455800.36782,13.077,0.014,,V,ATE,,138,140,110825,,0,1.48,Z,,13.873,,PTF11KLY,0,STD,,,
2455800.36849,13.111,0.017,,V,SJAR,,ENSEMBLE,000-BKD-533,5249ALC,,0,1.538,Z,,13.954,,PTF11KLY,30,STD,,,
2455800.36857,13.071,0.014,,V,ATE,,138,140,110825,,0,1.48,Z,,13.848,,PTF11KLY,0,STD,,,
2455800.36922,12.994,0.016,,R,SJAR,,ENSEMBLE,000-BKD-533,5249ALC,,0,1.541,Z,,13.582,,PTF11KLY,30,STD,,,
2455800.36931,13.099,0.014,,V,ATE,,138,140,110825,,0,1.49,Z,,13.865,,PTF11KLY,0,STD,,,
2455800.369795,13.140,0.043,,V,NRU,,140,141,5249CPN,,0,1.632,Z,16.241,16.502,,PTF11KLY,0,STD,,,
2455800.36995,13.426,0.042,,B,SJAR,,ENSEMBLE,000-BKD-533,5249ALC,,0,1.544,Z,,14.532,,PTF11KLY,30,STD,,,
2455800.37005,13.074,0.014,,V,ATE,,138,140,110825,,0,1.49,Z,,13.882,,PTF11KLY,0,STD,,,
2455800.37068,12.982,0.042,,I,SJAR,,ENSEMBLE,000-BKD-533,5249ALC,,0,1.547,Z,,13.146,,PTF11KLY,30,STD,,,
2455800.37082,13.082,0.014,,V,ATE,,138,140,110825,,0,1.50,Z,,13.877,,PTF11KLY,0,STD,,,
2455800.37120,13.315,0.022,,B,MIW,,ENSEMBLE,141,5249ASP,MEAN OF 5 MEASUREMENTS,0,,Z,,14.930,,PTF11KLY,20,STD,,,
2455800.37141,13.108,0.017,,V,SJAR,,ENSEMBLE,000-BKD-533,5249ALC,,0,1.550,Z,,13.933,,PTF11KLY,30,STD,,,
2455800.37157,13.077,0.014,,V,ATE,,138,140,110825,,0,1.50,Z,,13.845,,PTF11KLY,0,STD,,,
2455800.37214,12.973,0.016,,R,SJAR,,ENSEMBLE,000-BKD-533,5249ALC,,0,1.553,Z,,13.573,,PTF11KLY,30,STD,,,
2455800.37231,13.082,0.014,,V,ATE,,138,140,110825,,0,1.51,Z,,13.855,,PTF11KLY,0,STD,,,
2455800.37286,13.399,0.042,,B,SJAR,,ENSEMBLE,000-BKD-533,5249ALC,,0,1.556,Z,,14.523,,PTF11KLY,30,STD,,,
2455800.37305,13.065,0.014,,V,ATE,,138,140,110825,,0,1.51,Z,,13.822,,PTF11KLY,0,STD,,,
2455800.37359,12.962,0.043,,I,SJAR,,ENSEMBLE,000-BKD-533,5249ALC,,0,1.559,Z,,13.160,,PTF11KLY,30,STD,,,
2455800.373758,13.049,0.046,,V,NRU,,140,141,5249CPN,,0,1.657,Z,16.360,16.508,,PTF11KLY,0,STD,,,
2455800.37379,13.069,0.014,,V,ATE,,138,140,110825,,0,1.51,Z,,13.819,,PTF11KLY,0,STD,,,
2455800.37433,13.148,0.030,,V,SJAR,,ENSEMBLE,000-BKD-533,5249ALC,,0,1.563,Z,,13.894,,PTF11KLY,30,STD,,,
2455800.37453,13.087,0.014,,V,ATE,,138,140,110825,,0,1.52,Z,,13.926,,PTF11KLY,0,STD,,,
2455800.37469,13.118,0.032,,V,RMU,,ENSEMBLE,STAR 2,5249CHX,,0,1.518,Z,,13.585,,PTF11KLY,6,STD,,,
2455800.37506,12.996,0.016,,R,SJAR,,ENSEMBLE,000-BKD-533,5249ALC,,0,1.566,Z,,13.560,,PTF11KLY,30,STD,,,
2455800.37527,13.075,0.014,,V,ATE,,138,140,110825,,0,1.52,Z,,13.879,,PTF11KLY,0,STD,,,
2455800.37578,13.426,0.041,,B,SJAR,,ENSEMBLE,000-BKD-533,5249ALC,,0,1.569,Z,,14.588,,PTF11KLY,30,STD,,,
2455800.37601,13.069,0.014,,V,ATE,,138,140,110825,,0,1.53,Z,,13.910,,PTF11KLY,0,STD,,,
2455800.37651,12.932,0.041,,I,SJAR,,ENSEMBLE,000-BKD-533,5249ALC,,0,1.572,Z,,13.161,,PTF11KLY,30,STD,,,
2455800.37679,13.055,0.014,,V,ATE,,138,140,110825,,0,1.53,Z,,13.917,,PTF11KLY,0,STD,,,
2455800.37753,13.044,0.014,,V,ATE,,138,140,110825,,0,1.54,Z,,13.843,,PTF11KLY,0,STD,,,
2455800.377725,13.056,0.049,,V,NRU,,140,141,5249CPN,,0,1.683,Z,16.398,16.507,,PTF11KLY,0,STD,,,
2455800.37827,13.039,0.014,,V,ATE,,138,140,110825,,0,1.54,Z,,13.877,,PTF11KLY,0,STD,,,
2455800.3785,12.8,,,Vis.,MZS,,000,,999999,826112105,,,Z,,,,SN 2011FE,3,STD,,,
2455800.37901,13.066,0.014,,V,ATE,,138,140,110825,,0,1.55,Z,,13.869,,PTF11KLY,0,STD,,,
2455800.37975,13.069,0.014,,V,ATE,,138,140,110825,,0,1.55,Z,,13.905,,PTF11KLY,0,STD,,,
2455800.38049,13.085,0.014,,V,ATE,,138,140,110825,,0,1.56,Z,,13.901,,PTF11KLY,0,STD,,,
2455800.38123,13.077,0.014,,V,ATE,,138,140,110825,,0,1.56,Z,,13.902,,PTF11KLY,0,STD,,,
2455800.38201,13.058,0.014,,V,ATE,,138,140,110825,,0,1.57,Z,,13.829,,PTF11KLY,0,STD,,,
2455800.382096,13.155,0.048,,V,NRU,,140,141,5249CPN,,0,1.712,Z,16.345,16.555,,PTF11KLY,0,STD,,,
2455800.38275,13.061,0.017,,V,ATE,,138,140,110825,,0,1.57,Z,,13.910,,PTF11KLY,0,STD,,,
2455800.38349,13.048,0.014,,V,ATE,,138,140,110825,,0,1.58,Z,,13.837,,PTF11KLY,0,STD,,,
2455800.38423,13.059,0.014,,V,ATE,,138,140,110825,,0,1.58,Z,,13.872,,PTF11KLY,0,STD,,,
2455800.38498,13.040,0.014,,V,ATE,,138,140,110825,,0,1.59,Z,,13.907,,PTF11KLY,0,STD,,,
2455800.385978,13.121,0.049,,V,NRU,,140,141,5249CPN,,0,1.739,Z,16.364,16.544,,PTF11KLY,0,STD,,,
2455800.389804,13.062,0.049,,V,NRU,,140,141,5249CPN,,0,1.766,Z,16.403,16.592,,PTF11KLY,0,STD,,,
2455800.393943,13.108,0.050,,V,NRU,,140,141,5249CPN,,0,1.794,Z,16.366,16.670,,PTF11KLY,0,STD,,,
2455800.397847,13.145,0.053,,V,NRU,,140,141,5249CPN,,0,1.825,Z,16.385,16.763,,PTF11KLY,0,STD,,,
2455800.39931,13.03,0.012,,V,MUY,,138,140,5249mz,,0,,Z,13.8,14.0,,PTF11KLY,5,STD,,,
2455800.39934,13.089,,,V,SWQ,,,,5249ve,,0,,Z,14.0,13.8,,SN 2011FE,13,STD,,,
2455800.40088,13.081,0.003,,V,SDI,,ensembled,,5249bri,1 measure,0,1.442,Z,,,,SN 2011FE,20,STD,,,
2455800.401688,13.053,0.058,,V,NRU,,140,141,5249CPN,,0,1.854,Z,16.518,16.722,,PTF11KLY,0,STD,,,
2455800.405536,13.050,0.061,,V,NRU,,140,141,5249CPN,,0,1.885,Z,16.584,16.685,,PTF11KLY,0,STD,,,
2455800.41200,12.90,,,V,PYG,Y,117,,5249doq,BRT,0,,Z,11.7,,,SN 2011FE,30,STD,,,
2455800.41806,13.34,0.02,,B,KJAC,,ensemble,ensemble,5252fd,,0,,Z,,,,SN 2011FE,0,STD,,,
2455800.42153,13.04,0.02,,V,KJAC,,ensemble,ensemble,5252fd,,0,,Z,,,,SN 2011FE,0,STD,,,
2455800.42500,12.95,0.03,,R,KJAC,,ensemble,ensemble,5252fd,,0,,Z,,,,SN 2011FE,0,STD,,,
2455800.43125,13.3,0.02,,CV,PAI,BUL,ensemble,000-BKD-535,5256cuk,,0,,Z,,14.10,,SN 2011FE,0,STD,,,
2455800.56250,12.93,0.01,,V,SHA,,000-BKD-533,000-BKD-534,5249agx,,0,1.33,Z,13.801,13.991,,SN 2011FE,0,STD,,,
2455800.566,13.21,0.10,,B,RHM,U,ensemble,5249bgj,5249bgj,These measurements do include color terms,0,,Z,,,,PTF11KLY,0,STD,,,
2455800.56667,13.31,0.01,,B,SHA,,000-BKD-533,000-BKD-534,5249agx,,0,1.35,Z,14.699,14.557,,SN 2011FE,0,STD,,,
2455800.56875,12.93,0.02,,I,SHA,,000-BKD-533,000-BKD-534,5249agx,,0,1.36,Z,12.698,13.197,,SN 2011FE,0,STD,,,
2455800.569745,13.061,0.008,,CV,UJHA,,000-BKD-534,000-BKD-533,5251SS,,0,,Z,12.273,12.125,,SN 2011FE,0,STD,,,
2455800.57375,13.053,0.008,,CV,UJHA,,000-BKD-534,000-BKD-533,5251SS,,0,,Z,12.394,12.245,,SN 2011FE,0,STD,,,
2455800.577581,13.067,0.007,,CV,UJHA,,000-BKD-534,000-BKD-533,5251SS,,0,,Z,12.312,12.163,,SN 2011FE,0,STD,,,
2455800.581,13.01,0.05,,V,RHM,,ensemble,5249bgj,5249bgj,Includes color terms.,0,,Z,,,,PTF11KLY,0,STD,,,
2455800.582002,13.029,0.007,,CV,UJHA,,000-BKD-534,000-BKD-533,5251SS,,0,,Z,12.298,12.120,,SN 2011FE,0,STD,,,
2455800.590,12.90,0.09,,I,RHM,,ensemble,5249bgj,5249bgj,Includes color terms,0,,Z,,,,PTF11KLY,0,STD,,,
2455800.59722,13.22,0.05,,B,GNZ,,ensemble,,PTF11kly,,0,,Z,,,,SN 2011FE,0,STD,,,
2455800.59722,13.00,0.03,,V,GNZ,,ensemble,,PTF11kly,,0,,Z,,,,SN 2011FE,0,STD,,,
2455800.59722,12.58,0.04,,R,GNZ,,ensemble,,PTF11kly,,0,,Z,,,,SN 2011FE,0,STD,,,
2455800.600,12.90,0.07,,R,RHM,,ensemble,5249bgj,5249bgj,Includes color terms,0,,Z,,,,PTF11KLY,0,STD,,,
2455800.6097,12.9,,,Vis.,BTB,,128,131,5249oe,,,,Z,,,,PTF11KLY,0,STD,,,
2455800.621377,12.962,0.006,,V,STIA,,000-BKD-533,000-BKD-538,5258CH,,0,1.520,Z,15.489,17.205,,SN 2011FE,0,STD,,,
2455800.639375,13.323,0.011,,B,STIA,,000-BKD-533,000-BKD-538,5258CH,,0,1.637,Z,17.702,19.278,,SN 2011FE,0,STD,,,
2455800.6639,12.8,,,Vis.,KRB,Y,128,131,030805,BRIGHTER USED TT BOO SEQ,,,Z,,,,SN 2011FE,0,STD,,,
2455800.68532,12.921,0.0427,,V,TDW,,140,138,5249cnd,,0,1.320,Z,13.991,13.801,,PTF11KLY,0,STD,,,
2455800.6897,12.809,0.0273,,R,TDW,,140,138,5249cnd,,0,1.334,Z,13.581,13.230,,PTF11KLY,0,STD,,,
2455800.69739,12.817,0.0536,,I,TDW,,140,138,5249cnd,,0,1.378,Z,13.197,12.698,,PTF11KLY,0,STD,,,
2455800.70139,12.5,,,Vis.,SGE,,119,128,5249ANB,18.5 inch telescope at SSSP,,,Z,,,,SN 2011FE,27,STD,,,
2455800.70200 ,13.169,0.0837,,B,TDW,,140,138,5249cnd,,0,1.394,Z,14.557,14.699,,PTF11kly,0,STD,,,
2455800.71389,12.7,,,Vis.,WLY,,119,133,5249TH,,,,Z,,,,PTF11KLY,0,STD,,,
2455800.7292,12.6,,,Vis.,DJX,,119,128,5249anb,Observation at Saskatchewan Summer Star Party with 18in Dob,,,Z,,,,PTF11kly,27,STD,,,
2455800.74306,12.6,,,Vis.,PAH,,119,128,5249anb,from Saskatchewan Star Party,,,Z,,,,SN 2011FE,30,STD,,,
2455800.75807,13.049,0.062,,B,SRIC,,ENSEMBLE,000-BKD-527,5249CV,MEAN 3 OBS. ERR BY QUADRATURE,0,2.11,Z,,12.179,,PTF11KLY,0,STD,,,
2455800.75972,12.6,,,Vis.,HUZ,,119,128,5252FTP,FROM SASK SUMMER STAR PARTY,,,Z,,,,SN 2011FE,0,STD,,,
