2453000.2292	3.7	
2453000.2660	3.6	
2453000.4479	3.4	
2453000.52	3.6	
2453000.5222	3.6	
2453000.5847	3.6	
2453000.6563	3.3	
2453000.8333	3.6	
2453001.2611	3.7	
2453001.3757	3.5	
2453001.4243	4.0	
2453001.49	<3.8	
2453001.5729	3.8	
2453001.5778	3.8	
2453001.8333	3.8	
2453002.2708	3.9	
2453002.3021	3.9	
2453002.310	3.8	
2453002.4875	4.2	
2453002.5618	3.6	
2453003.2653	4.0	
2453003.5236	4.2	
2453003.6187	4.0	
2453004.2889	4.2	
2453004.50	4.2	
2453004.6160	4.2	
2453005.53	3.7	
2453005.5896	4.0	
2453006.4757	4.0	
2453007.2771	4.0	
2453007.3313	4.0	
2453007.6667	4.0	
2453009.2229	4.6	
2453009.6069	4.3	
2453010.3271	4.8	
2453010.9549	3.8	
2453011.5319	3.5	
2453011.5694	3.9	
2453013.6187	4.0	
2453013.6924	3.9	
2453014.2618	4.0	
2453014.6410	4.0	
2453014.6944	4.2	
2453014.8056	4.0	
2453015.6257	4.0	
2453015.7090	4.1	
2453015.7757	3.8	
2453016.5306	4.0	
2453016.5667	3.5	
2453016.6708	3.6	
2453016.68	3.6	
2453016.7333	3.5	
2453017.2257	3.6	
2453017.2319	3.5	
2453017.7722	3.8	
2453018.616	3.8	
2453018.6361	4.0	
2453018.9861	4.2	
2453019.2063	4.1	
2453019.7208	4.0	
2453019.7528	3.9	
2453020.2993	4.8	
2453020.6257	4.2	
2453021.5694	4.1	
2453022.4993	3.8	
2453023.2014	3.6	
2453023.2340	3.6	
2453023.3194	3.7	
2453024.4757	4.1	
2453024.5306	3.7	
2453024.6438	3.9	
2453024.6479	4.0	
2453024.67	4.1	
2453025.252	4.2	
2453025.3236	4.3	
2453025.3819	4.0	
2453025.566	4.0	
2453025.6326	4.2	
2453026.3194	4.0	
2453026.3924	3.9	
2453026.4799	4.4	
2453026.5861	4.2	
2453026.6299	4.2	
2453027.1868	4.3	
2453027.6181	3.4	
2453027.6208	3.8	
2453027.67	3.6	
2453028.2514	3.7	
2453028.2562	3.7	
2453028.3215	3.6	
2453028.6549	3.6	
2453029.2590	3.9	
2453029.5243	4.0	
2453029.781	3.9	
2453030.2417	4.5	
2453030.2646	4.0	
2453030.6007	3.9	
2453031.6326	3.9	
2453032.5660	3.9	
2453032.5833	3.4	
2453034.2778	4.0	
2453035.2160	4.0	
2453035.2396	3.7	
2453035.7889	4.0	
2453036.2118	4.3	
2453036.319	4.0	
2453036.7653	4.0	
2453037.3375	3.9	
2453037.6021	3.6	
2453038.2931	3.8	
2453038.6056	3.5	
2453038.6160	3.9	
2453038.6833	3.8	
2453039.5785	4.1	
2453039.6465	3.9	
2453040.2583	4.6	
2453040.5806	3.9	
2453040.5896	4.3	
2453040.7174	4.0	
2453041.1979	4.1	
2453041.2569	4.1	
2453041.6007	4.1	
2453042.2493	4.8	
2453043.5625	3.6	
2453044.2389	4.0	
2453044.2569	3.7	
2453044.2708	3.9	
2453044.2826	3.6	
2453044.5097	3.7	
2453044.5159	3.8	
2453044.5208	3.8	
2453044.5722	4.0	
2453045.2313	4.0	
2453045.2764	4.0	
2453045.3229	3.6	
2453045.3646	3.9	
2453046.4958	4.2	
2453046.5694	3.8	
2453046.6	3.9	
2453047.1847	3.7	
2453047.2319	4.2	
2453047.2674	4.1	
2453047.3264	4.0	
2453047.6132	4.0	
2453048.2396	4.4	
2453048.5785	3.8	
2453049.2653	3.7	
2453049.2743	3.7	
2453050.2493	4.0	
2453050.5431	3.7	
2453051.2639	4.0	
2453051.3229	3.9	
2453051.4924	4.2	
2453051.5104	4.2	
2453051.5145	4.6	
2453051.5826	3.8	
2453051.6042	3.9	
2453051.98	4.1	
2453052.5049	4.3	
2453053.3229	4.0	
2453053.5903	4.2	
2453053.5986	3.9	
2453053.6632	3.9	
2453053.98	4.0	
2453054.2701	3.6	
2453054.7264	3.8	
2453054.97	3.8	
2453055.2444	3.6	
2453055.6153	3.8	
2453055.6264	3.9	
2453056.25	3.9	
2453056.3840	3.7	
2453056.4549	3.8	
2453056.5965	4.0	
2453057.3667	4.1	
