2426290.00000	5.600000			Vis.	SRC						No		G				R DOR		STD		
2426299.30000	5.500000			Vis.	HT						No		G				R DOR		STD		
2426300.00000	5.700000			Vis.	SRC						No		G				R DOR		STD		
2426303.00000	5.600000			Vis.	BL						No		G				R DOR		STD		
2426303.30000	5.300000			Vis.	EN						No		G				R DOR		STD		
2426305.30000	5.500000			Vis.	HT						No		G				R DOR		STD		
2426309.00000	5.400000			Vis.	SRC						No		G				R DOR		STD		
2426309.40000	5.600000			Vis.	EN						No		G				R DOR		STD		
2426312.00000	5.600000			Vis.	BL						No		G				R DOR		STD		
2426313.60000	5.100000			Vis.	DRM						No		G				R DOR		STD		
2426320.10000	5.600000			Vis.	SRC						No		G				R DOR		STD		
2426321.10000	5.700000			Vis.	BL						No		G				R DOR		STD		
2426321.40000	5.500000			Vis.	EN						No		G				R DOR		STD		
2426329.30000	5.500000			Vis.	HT						No		G				R DOR		STD		
2426329.70000	5.400000			Vis.	DRM						No		G				R DOR		STD		
2426330.00000	5.700000			Vis.	SRC						No		G				R DOR		STD		
2426332.00000	6.000000			Vis.	BL						No		G				R DOR		STD		
2426332.30000	5.500000			Vis.	EN						No		G				R DOR		STD		
2426337.40000	5.500000			Vis.	HT						No		G				R DOR		STD		
2426339.00000	6.100000			Vis.	BL						No		G				R DOR		STD		
2426339.10000	5.500000			Vis.	SRC						No		G				R DOR		STD		
2426349.00000	5.600000			Vis.	SRC						No		G				R DOR		STD		
2426350.40000	5.500000			Vis.	HT						No		G				R DOR		STD		
2426353.10000	5.600000			Vis.	SRC						No		G				R DOR		STD		
2426355.40000	5.500000			Vis.	HT						No		G				R DOR		STD		
2426358.20000	5.600000			Vis.	BL						No		G				R DOR		STD		
2426360.40000	5.600000			Vis.	HT						No		G				R DOR		STD		
2426365.30000	5.600000			Vis.	EN						No		G				R DOR		STD		
2426367.12000	6.000000			Vis.	BT						No		G				R DOR		STD		
2426368.00000	5.700000			Vis.	SRC						No		G				R DOR		STD		
2426368.80000	6.100000			Vis.	DRM						No		G				R DOR		STD		
2426369.30000	5.800000			Vis.	SMW						No		G				R DOR		STD		
2426369.40000	5.400000			Vis.	HT						No		G				R DOR		STD		
2426370.20000	5.500000			Vis.	BL						No		G				R DOR		STD		
2426379.70000	5.300000			Vis.	DRM						No		G				R DOR		STD		
2426380.00000	5.700000			Vis.	SRC						No		G				R DOR		STD		
2426380.30000	5.500000			Vis.	EN						No		G				R DOR		STD		
2426380.30000	5.500000			Vis.	HT						No		G				R DOR		STD		
2426385.30000	5.400000			Vis.	HT						No		G				R DOR		STD		
2426385.30000	5.600000			Vis.	SMW						No		G				R DOR		STD		
2426386.30000	5.600000			Vis.	EN						No		G				R DOR		STD		
2426389.00000	5.600000			Vis.	BL						No		G				R DOR		STD		
2426390.00000	5.400000			Vis.	SRC						No		G				R DOR		STD		
2426390.30000	5.400000			Vis.	HT						No		G				R DOR		STD		
2426394.30000	5.600000			Vis.	SMW						No		G				R DOR		STD		
2426396.00000	5.800000			Vis.	BL						No		G				R DOR		STD		
2426398.30000	5.200000			Vis.	HT						No		G				R DOR		STD		
2426398.60000	5.400000			Vis.	DRM						No		G				R DOR		STD		
2426408.30000	5.500000			Vis.	EN						No		G				R DOR		STD		
2426408.94000	5.200000			Vis.	SGF						No		G				R DOR		STD		
2426410.00000	5.400000			Vis.	SRC						No		G				R DOR		STD		
2426410.90000	5.800000			Vis.	BL						No		G				R DOR		STD		
2426411.30000	5.500000			Vis.	HT						No		G				R DOR		STD		
2426411.89000	5.600000			Vis.	SGF						No		G				R DOR		STD		
2426413.30000	5.600000			Vis.	EN						No		G				R DOR		STD		
2426413.88000	5.400000			Vis.	SGF						No		G				R DOR		STD		
2426415.30000	5.600000			Vis.	EN						No		G				R DOR		STD		
2426415.30000	5.500000			Vis.	HT						No		G				R DOR		STD		
2426415.50000	5.300000			Vis.	DRM						No		G				R DOR		STD		
2426415.84000	5.600000			Vis.	SGF						No		G				R DOR		STD		
2426417.86000	5.500000			Vis.	SGF						No		G				R DOR		STD		
2426418.00000	5.200000			Vis.	SRC						No		G				R DOR		STD		
2426419.95000	5.500000			Vis.	SGF						No		G				R DOR		STD		
2426420.90000	5.500000			Vis.	SGF						No		G				R DOR		STD		
2426421.30000	5.500000			Vis.	HT						No		G				R DOR		STD		
2426423.92000	5.200000			Vis.	SGF						No		G				R DOR		STD		
2426425.50000	5.100000			Vis.	DRM						No		G				R DOR		STD		
2426425.90000	5.200000			Vis.	SRC						No		G				R DOR		STD		
2426425.95000	5.200000			Vis.	SGF						No		G				R DOR		STD		
2426428.88000	5.200000			Vis.	SGF						No		G				R DOR		STD		
2426429.86000	5.400000			Vis.	SGF						No		G				R DOR		STD		
2426436.20000	5.200000			Vis.	HT						No		G				R DOR		STD		
2426437.20000	5.300000			Vis.	EN						No		G				R DOR		STD		
2426440.00000	5.100000			Vis.	SRC						No		G				R DOR		STD		
2426440.60000	4.700000			Vis.	DRM						No		G				R DOR		STD		
2426442.90000	5.400000			Vis.	BL						No		G				R DOR		STD		
2426449.20000	5.300000			Vis.	EN						No		G				R DOR		STD		
