2453580.67100	7.900000			Vis.	WI		78	83	SAB1996		No		G				TU CAS		STD		
2453581.38680	8.100000			Vis.	PPZ		74	78	TAB1942		No		G				TU CAS		STD		
2453581.44400	8.100000			Vis.	DPV		7.83	8.29	050621		No		P				TU CAS		STD		
2453581.59440	8.000000			Vis.	SUI	BMU	78W	83S	SAB12/96	THIN CI+MOON+TWILIGHT.70MMX20R.ARGEL(78W-1V1-83S,V3-83W)SIGMA(0.03)	No		G				TU CAS		STD		
2453582.42600	7.700000			Vis.	DPV		7.64	7.83	050621		No		P				TU CAS		STD		
2453582.70000	7.900000			Vis.	WI		78	83	SAB1996		No		G				TU CAS		STD		
2453583.35900	8.200000			Vis.	DPV		7.83	8.29	050621		No		P				TU CAS		STD		
2453583.38470	8.200000			Vis.	MKW	A	73	83	ATLAS		No		G				TU CAS		STD		
2453584.34900	8.100000			Vis.	DPV		7.83	8.29	050621		No		P				TU CAS		STD		
2453584.35280	7.700000			Vis.	SSW		74	78	1996		No		G				TU CAS		STD		
2453584.39300	7.900000			Vis.	SYF						No		G				TU CAS		STD		
2453584.41740	7.700000			Vis.	PPZ		70	74	TAB1942		No		G				TU CAS		STD		
2453584.48100	7.900000			Vis.	DPV		7.83	8.29	050621		No		P				TU CAS		STD		
2453585.34900	8.100000			Vis.	DPV		7.83	8.29	050621		No		P				TU CAS		STD		
2453585.43400	8.200000			Vis.	DPV		7.83	8.29	050621		No		P				TU CAS		STD		
2453585.46300	7.600000			Vis.	DPV		7.38	7.64	050621		No		P				TU CAS		STD		
2453585.50300	8.000000			Vis.	DPV		7.83	8.29	050621		No		P				TU CAS		STD		
2453585.55000	7.800000			Vis.	DPV		7.64	7.83	050621		No		P				TU CAS		STD		
2453585.69200	8.300000			Vis.	WI		78	83	SAB1996		No		G				TU CAS		STD		
2453586.42200	7.300000			Vis.	DPV		6.94	7.38	050621		No		P				TU CAS		STD		
2453586.46300	7.100000			Vis.	DPV		6.94	7.38	050621		No		P				TU CAS		STD		
2453586.51460	7.600000			Vis.	GGC		74	78	AAVSO		No		G				TU CAS		STD		
2453586.62150	7.700000			Vis.	SUI	BU	74E	78W	SAB12/96	CSTRATUS+TWILIGHT.46X25R.ARGEL(74E-2V2-78W,V3-83S)SIGMA(0.08)	No		G				TU CAS		STD		
2453586.67800	7.400000			Vis.	WI		70	74	SAB1996		No		G				TU CAS		STD		
2453587.61040	8.100000			Vis.	GGC		78	83	AAVSO		No		G				TU CAS		STD		
2453588.42290	7.900000			Vis.	MKW	A					No		G				TU CAS		STD		
2453588.42430	7.700000			Vis.	PPZ		70	74	TAB1942		No		G				TU CAS		STD		
2453588.68300	7.600000			Vis.	WI		74	78	SAB1996		No		G				TU CAS		STD		
2453588.74380	7.700000			Vis.	MKE		74	78	SAB12/96	na	No		P				TU CAS		STD		
2453589.71000	8.100000			Vis.	WI		78	83	SAB1996		No		G				TU CAS		STD		
2453590.57920	7.700000			Vis.	GGC		74	78	AAVSO		No		G				TU CAS		STD		
2453590.63470	8.000000			Vis.	SUI	BU	74E	78W	SAB12/96	CIRRUS+TWILIGHT.56MMX21R.ARGEL(74E-3V,78W-2V2-83S)SIGMA(0.06)	No		G				TU CAS		STD		
2453591.36250	7.800000			Vis.	SSW		74	78	1996		No		G				TU CAS		STD		
2453591.58190	7.600000			Vis.	GGC		74	78	AAVSO		No		G				TU CAS		STD		
2453592.36250	8.400000			Vis.	SSW		83	86	1996		No		G				TU CAS		STD		
2453592.51110	8.100000			Vis.	GGC		78	83	AAVSO		No		G				TU CAS		STD		
2453592.56180	7.800000			Vis.	SUI	U	74E	78W	SAB12/96	STRATUS INTERUPTING. 20X60 BINS. ARGEL(74E-3V1-78W,V3-83S) SIGMA(0.08!)	No		G				TU CAS		STD		
2453593.48470	8.000000			Vis.	SUI		74E	78W	SAB12/96	15X70MM BINS. ARGEL(74E-4V,78W-1V2-83S) SIGMA(0.02)	No		G				TU CAS		STD		
2453593.56530	8.110000			V	SUI		C=69	K=74	P050621	SEQ(CVCKC) V_ERR(0.30) <- CIRRUS! K_MAG(7.62) K_ERR(0.29) <- CIRRUS!	No		G				TU CAS		STD		
2453593.61940	8.100000			Vis.	SUI	BU	78W	83S	SAB12/96	PATCHY CIRRUS+TWILIGHT.15X70MM BINS. ARGEL(78W-2V1-83S)	No		G				TU CAS		STD		
2453594.38890	8.100000			Vis.	SSW		78	83	1996		No		G				TU CAS		STD		
2453595.39030	7.500000			Vis.	SSW		74	78	1996		No		G				TU CAS		STD		
2453595.41600	7.600000			Vis.	REP						No		G				TU CAS		STD		
2453595.63130	7.800000			Vis.	SUI	BU	74E	78W	SAB12/96	CIRRUS+TWILIGHT.15X70MMBINS.ARGEL(74E-3V1-78W,V3-83S)SIGMA(0.08)	No		G				TU CAS		STD		
2453597.56870	7.700000			Vis.	SSW		74	78	1996		No		G				TU CAS		STD		
2453597.64170	8.000000			Vis.	SUI	BU	74E	78W	SAB12/96	VAR.CIRRUS+TWILIGHT.70MMX15BINS.ARGEL(74E-3V,78W-2V2-83S)SIGMA(0.06)	No		G				TU CAS		STD		
2453598.60620	8.100000			Vis.	GGC		78	83	AAVSO		No		G				TU CAS		STD		
2453599.38610	7.700000			Vis.	GGC	H	74	78	AAVSO	HAZE	No		G				TU CAS		STD		
2453599.68300	7.800000			Vis.	WI		74	78	SAB1996		No		G				TU CAS		STD		
2453600.35350	7.700000			Vis.	GGC		74	78	AAVSO		No		G				TU CAS		STD		
2453600.37990	8.100000			Vis.	SSW		78	83	1996		No		G				TU CAS		STD		
2453600.38330	7.900000			Vis.	MKW	A					No		G				TU CAS		STD		
2453601.40070	7.700000			Vis.	GGC	V	74	74	AAVSO	7.8 COMPARISON STAR NOT VISIBLE	No		G				TU CAS		STD		
2453601.42080	7.200000			Vis.	KSQ		69	74	12/96		No		G				TU CAS		STD		
2453601.43190	7.200000			Vis.	KSQ		69	74	12/96		No		G				TU CAS		STD		
2453601.44240	7.200000			Vis.	KSQ		69	74	12/96		No		G				TU CAS		STD		
2453601.45420	7.100000			Vis.	KSQ		69	74	12/96		No		G				TU CAS		STD		
2453601.46110	7.000000			Vis.	KSQ		69	74	12/96		No		G				TU CAS		STD		
2453601.46940	7.000000			Vis.	KSQ		69	74	12/96		No		G				TU CAS		STD		
2453601.47780	7.000000			Vis.	KSQ		69	74	12/96		No		G				TU CAS		STD		
2453602.28540	7.300000			Vis.	KSQ		69	74	12/96		No		G				TU CAS		STD		
2453602.35630	8.100000			Vis.	SSW	M	78	83	1996		No		G				TU CAS		STD		
2453603.26740	7.700000			Vis.	KSQ		74	78	12/96		No		G				TU CAS		STD		
2453603.27220	7.600000			Vis.	KSQ		74	78	12/96		No		G				TU CAS		STD		
2453603.27850	7.700000			Vis.	KSQ		74	78	12/96		No		G				TU CAS		STD		
2453603.28960	7.600000			Vis.	KSQ		74	78	12/96		No		G				TU CAS		STD		
2453603.29860	7.600000			Vis.	KSQ		74	78	12/96		No		G				TU CAS		STD		
2453603.31180	7.500000			Vis.	KSQ		74	78	12/96		No		G				TU CAS		STD		
2453603.31300	7.800000			Vis.	DPV		6.94	7.94	050621		No		P				TU CAS		STD		
2453603.32290	7.400000			Vis.	SSW	M	70	74	1996		No		G				TU CAS		STD		
2453603.36590	7.500000			Vis.	SYF						No		G				TU CAS		STD		
2453604.31320	7.600000			Vis.	KSQ		74	78	12/96		No		G				TU CAS		STD		
2453604.65000	8.200000			Vis.	SUI	MU	78W	83S	SAB12/96	VARIABLE CIRRUS+TWILIGHT.46MMX27R.ARGEL(78W-3V1-83S,V3-86W)SIGMA(0.01)	No		G				TU CAS		STD		
2453604.85200	8.000000			Vis.	BJOH						No		G				TU CAS		STD		
2453605.60000	7.400000			Vis.	CGF		69	74	1996		No		G				TU CAS		STD		
2453605.70400	7.600000			Vis.	WI		74	78	SAB1996		No		G				TU CAS		STD		
2453606.27780	7.700000			Vis.	KSQ						No		G				TU CAS		STD		
2453606.28540	7.600000			Vis.	KSQ						No		G				TU CAS		STD		
2453606.37360	7.400000			Vis.	GGC		69	78	AAVSO		No		G				TU CAS		STD		
2453606.80300	8.100000			Vis.	WI		78	83	SAB1996		No		G				TU CAS		STD		
2453607.27710	8.100000			Vis.	KSQ						No		G				TU CAS		STD		
2453607.28540	8.000000			Vis.	KSQ						No		G				TU CAS		STD		
2453607.29310	7.900000			Vis.	KSQ						No		G				TU CAS		STD		
2453607.30140	8.100000			Vis.	KSQ						No		G				TU CAS		STD		
2453607.31250	8.000000			Vis.	KSQ						No		G				TU CAS		STD		
2453607.31810	8.000000			Vis.	KSQ						No		G				TU CAS		STD		
2453607.32500	8.000000			Vis.	KSQ						No		G				TU CAS		STD		
2453607.60280	8.100000			Vis.	SUI	MU	78W	83S	SAB12/96	VARIABLE STRATUS+MOON.50MMX16 BINS.ARGEL(78W-2V2-83S,V4-86W)SIGMA(0.01)	No		G				TU CAS		STD		
2453607.67500	7.100000			Vis.	WI		69	74	SAB1996		No		G				TU CAS		STD		
2453607.84400	6.900000			Vis.	BJOH						No		G				TU CAS		STD		
2453607.90000	7.400000			Vis.	WI		69	74	SAB1996		No		G				TU CAS		STD		
2453608.26460	7.700000			Vis.	KSQ						No		G				TU CAS		STD		
2453608.27360	7.200000			Vis.	KSQ						No		G				TU CAS		STD		
2453608.28190	7.300000			Vis.	KSQ						No		G				TU CAS		STD		
2453608.31600	7.900000			Vis.	SSW		78	83	1996		No		G				TU CAS		STD		
2453608.34310	7.600000			Vis.	GGC	H	74	78	AAVSO	FAINT HAZE	No		G				TU CAS		STD		
2453608.62990	8.100000			Vis.	SUI	MU	78W	83S	SAB12/96	BETWEEN CLOUDS.50MMX16BINS.ARGEL(78W-2V2-83S)	No		G				TU CAS		STD		
2453608.93700	7.800000			Vis.	BJOH						No		G				TU CAS		STD		
2453609.27430	8.100000			Vis.	KSQ						No		G				TU CAS		STD		
2453609.29720	8.100000			Vis.	KSQ						No		G				TU CAS		STD		
2453609.30420	8.000000			Vis.	KSQ						No		G				TU CAS		STD		
2453609.31110	8.100000			Vis.	KSQ						No		G				TU CAS		STD		
2453609.32150	8.100000			Vis.	KSQ						No		G				TU CAS		STD		
2453609.32990	8.100000			Vis.	KSQ						No		G				TU CAS		STD		
2453609.33750	8.100000			Vis.	KSQ						No		G				TU CAS		STD		
2453609.34720	8.000000			Vis.	KSQ						No		G				TU CAS		STD		
2453609.36880	8.100000			Vis.	KSQ						No		G				TU CAS		STD		
2453609.37780	8.100000			Vis.	KSQ						No		G				TU CAS		STD		
