2454410.3410,12.3,,,Vis.,SJZ,,123,,050220,,No,,G,,,,SS Cyg
2454410.36319,12.2,,,Vis.,ONJ,,119,123,e05,,No,,G,,,,SS Cyg
2454410.38681,12.3,,,Vis.,GFT,,123,,SB2004,,No,,G,,,,SS Cyg
2454410.3924,<10.3,,,Vis.,WWJ,,,,050220,16x80,No,,G,,,,SS Cyg
2454410.41667,11.9,,,Vis.,OJR,,113,123,AAVSO,,No,,G,,,,SS Cyg
2454410.4938,12.2,,,Vis.,CGF,,119,123,070723,,No,,G,,,,SS Cyg
2454410.5,12.0,,,Vis.,KRS,,NA,,NA,,No,,P,,,,SS Cyg
2454410.501,12.2,,,Vis.,PYG,,119-3,,Henden 021,0,No,,G,,,,SS Cyg
2454410.52222,12.1,,,Vis.,CCY,,119,123,071028,,No,,G,,,,SS Cyg
2454410.54294,11.972,0.01,,V,CMP,,11.866,,050220,,No,1.06,G,,,,SS Cyg
2454410.54368,11.974,0.01,,V,CMP,,11.866,,050220,,No,1.06,G,,,,SS Cyg
2454410.54441,11.978,0.01,,V,CMP,,11.866,,050220,,No,1.06,G,,,,SS Cyg
2454410.54515,11.999,0.01,,V,CMP,,11.866,,050220,,No,1.06,G,,,,SS Cyg
2454410.54588,12.015,0.01,,V,CMP,,11.866,,050220,,No,1.06,G,,,,SS Cyg
2454410.54662,11.998,0.01,,V,CMP,,11.866,,050220,,No,1.06,G,,,,SS Cyg
2454410.54736,11.984,0.01,,V,CMP,,11.866,,050220,,No,1.06,G,,,,SS Cyg
2454410.54810,11.946,0.01,,V,CMP,,11.866,,050220,,No,1.06,G,,,,SS Cyg
2454410.54883,11.944,0.01,,V,CMP,,11.866,,050220,,No,1.06,G,,,,SS Cyg
2454410.54957,11.963,0.01,,V,CMP,,11.866,,050220,,No,1.06,G,,,,SS Cyg
2454410.55030,11.972,0.01,,V,CMP,,11.866,,050220,,No,1.06,G,,,,SS Cyg
2454410.55104,11.991,0.01,,V,CMP,,11.866,,050220,,No,1.06,G,,,,SS Cyg
2454410.55177,12.014,0.01,,V,CMP,,11.866,,050220,,No,1.06,G,,,,SS Cyg
2454410.55251,12.054,0.01,,V,CMP,,11.866,,050220,,No,1.06,G,,,,SS Cyg
2454410.55325,12.081,0.01,,V,CMP,,11.866,,050220,,No,1.06,G,,,,SS Cyg
2454410.55398,12.095,0.01,,V,CMP,,11.866,,050220,,No,1.06,G,,,,SS Cyg
2454410.55472,12.104,0.01,,V,CMP,,11.866,,050220,,No,1.06,G,,,,SS Cyg
